policy,success_mean,success_ci95,success_std,perfect_rate,slots_mean,slots_ci95,avg_mse,avg_power,total_energy_mean,total_energy_ci95,avg_reward
SAC,48.467,0.0,0.9761716037664689,12.9,9.754,0.0,2.772568659328483e-07,0.4349272128891091,16.648876594944188,0.0,94.26969199988245
SAC Fixed g/a,48.905,0.0,1.0138910197846709,31.900000000000002,9.105,0.0,3.9999999999999977e-07,0.4232635291863657,16.001804153659734,0.0,95.61038016206027
Greedy IRS,49.997,0.0,0.054690035655501276,99.7,2.536,0.0,3.9999999999999977e-07,0.3596035166153646,15.88452879146247,0.0,99.13804005775836
Random IRS,49.961,0.0,0.19359493795035035,96.1,5.182,0.0,3.9999999999999977e-07,0.4454114234528788,16.551905694149106,0.0,98.57594129704701
Random Fixed IRS,40.914,0.0,2.698630022807869,0.0,10.0,0.0,3.9999999999999977e-07,0.2982659366062493,12.206232488891382,0.0,36.35986612379893
Best Fixed IRS 14,41.039,0.0,2.744354022352072,0.0,10.0,0.0,3.9999999999999977e-07,0.2984498968270561,12.246552645918127,0.0,37.613274202816335
Fixed IRS 7,41.011,0.0,2.731827044305697,0.0,10.0,0.0,3.9999999999999977e-07,0.2990283091977536,12.264625014230628,0.0,37.339984965398145
No IRS,39.076,0.0,2.9086464205881053,0.0,10.0,0.0,3.9999999999999977e-07,0.3348686718511989,13.084966090657199,0.0,13.687564834377746
