error_std,probe_budget,policy,gain_margin,power_margin,risk_weight,risk_power_weight,risk_invite_threshold,episodes,num_seeds,success_mean,success_ci95,success_rate_mean,perfect_rate,slots_mean,slots_ci95,avg_power,total_energy_mean,total_energy_ci95,scheduled_nodes_mean,failed_nodes_mean,true_opportunities_mean,missed_opportunities_mean,false_positive_rate,execution_failure_rate,failure_slot_rate,missed_opportunity_rate,decision_preview_calls_per_slot_mean,oracle_tx_gap_mean,effective_risk_weight_mean,avg_reward
0.0,4,Estimated Rotating Grid,1.0,1.0,0.0,0.0,0.0,5000,5,49.9946,0.0013293366766919182,0.999892,99.48,3.1598,0.023433273437571518,0.3980958658088568,16.20613165317636,0.039832190363773445,49.9946,0.0,49.9946,0.0,0.0,0.0,0.0,0.0,4.0,0.7308569047619048,0.0,99.37468316736481
0.0,4,Robust Rotating Grid,1.25,0.9,0.0,0.0,0.0,5000,5,49.9906,0.0013293366766927398,0.999812,99.08,3.453,0.030218344097584136,0.3827715334772257,15.521131977351482,0.021587600716556223,49.9906,0.0,50.823,0.8324,0.0,0.0,0.0,1.6378411349192294,4.0,0.8095608730158731,0.0,99.34433256891626
0.0,4,Risk-Aware Rotating Grid,1.0,1.0,0.5,0.1,0.5,5000,5,49.9946,0.0013293366766919182,0.999892,99.48,3.1598,0.023433273437571518,0.3980958658088568,16.20613165317636,0.039832190363773445,49.9946,0.0,49.9946,0.0,0.0,0.0,0.0,0.0,4.0,0.7308569047619048,0.5,99.37468316736481
0.0,4,Adaptive Risk-Aware Rotating Grid,1.0,1.0,0.5,0.1,0.5,5000,5,49.9946,0.0013293366766919182,0.999892,99.48,3.1598,0.023433273437571518,0.3980958658088568,16.20613165317636,0.039832190363773445,49.9946,0.0,49.9946,0.0,0.0,0.0,0.0,0.0,4.0,0.7308569047619048,0.46821217822062683,99.37468316736481
0.0,8,Estimated Random Probe,1.0,1.0,0.0,0.0,0.0,5000,5,49.9944,0.0014667296956143857,0.999888,99.46000000000001,2.87,0.01622188645010191,0.3828078045643369,16.069723195608677,0.04225657433144353,49.9944,0.0,49.9944,0.0,0.0,0.0,0.0,0.0,8.0,0.38069904761904766,0.0,99.44560595845707
0.0,8,Estimated Rotating Grid,1.0,1.0,0.0,0.0,0.0,5000,5,49.9946,0.0013293366766919182,0.999892,99.48,2.7694,0.019049344765634402,0.37999724178817806,16.078475290331816,0.059903301875355794,49.9946,0.0,49.9946,0.0,0.0,0.0,0.0,0.0,8.0,0.3158323809523809,0.0,99.46680335005783
0.0,8,Robust Rotating Grid,1.25,0.9,0.0,0.0,0.0,5000,5,49.9906,0.0013293366766927398,0.999812,99.08,3.019,0.023519999999999965,0.3662856953275478,15.405819335335504,0.03239973795366372,49.9906,0.0,50.6706,0.68,0.0,0.0,0.0,1.3420010814949892,8.0,0.4238614285714286,0.0,99.43491025801731
0.0,8,Risk-Aware Rotating Grid,1.0,1.0,0.5,0.1,0.5,5000,5,49.9946,0.0013293366766919182,0.999892,99.48,2.7694,0.019049344765634402,0.37999724178817806,16.078475290331816,0.059903301875355794,49.9946,0.0,49.9946,0.0,0.0,0.0,0.0,0.0,8.0,0.3158323809523809,0.5,99.46680335005783
0.0,8,Adaptive Risk-Aware Rotating Grid,1.0,1.0,0.5,0.1,0.5,5000,5,49.9946,0.0013293366766919182,0.999892,99.48,2.7694,0.019049344765634402,0.37999724178817806,16.078475290331816,0.059903301875355794,49.9946,0.0,49.9946,0.0,0.0,0.0,0.0,0.0,8.0,0.3158323809523809,0.47353518977004333,99.46680335005783
0.05,0,Estimated No IRS,1.0,1.0,0.0,0.0,0.0,5000,5,38.941,0.07067152297778787,0.7788200000000001,0.0,10.0,0.0,0.7495580343606313,18.15092144408435,0.07962532849288802,44.5566,5.6156,39.7038,0.7628,12.603295583594798,12.603295583594798,43.230000000000004,1.9212266835919989,0.0,8.15628,0.0,10.389795247528468
0.05,1,Estimated Fixed IRS,1.0,1.0,0.0,0.0,0.0,5000,5,40.955,0.07270516900468607,0.8190999999999999,0.0,10.0,0.0,0.7241026655490359,16.917956296565087,0.054496002114200665,46.1524,5.1974,41.6772,0.7222,11.261386190100623,11.261386190100623,40.994,1.7328419375581852,1.0,7.3477,0.0,35.41899480535257
0.05,16,Exact Greedy Full CSI,1.0,1.0,0.0,0.0,0.0,5000,5,49.9946,0.0013293366766919182,0.999892,99.48,2.5496,0.01104577819802654,0.3638608581979463,15.977935100125729,0.053604404292855054,49.9946,0.0,49.9946,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,99.52804357132192
0.05,16,Estimated Greedy Full Preview,1.0,1.0,0.0,0.0,0.0,5000,5,49.9946,0.0013293366766919182,0.999892,99.48,2.6832,0.016107813756062572,0.3658256401014334,16.332410641928075,0.0545069238186349,50.7912,0.7966,50.2734,0.2788,1.5683819244278536,1.5683819244278536,23.509242695289206,0.5545676242307065,16.0,0.1492116666666667,0.0,99.49368950002477
0.05,1,Estimated Random Probe,1.0,1.0,0.0,0.0,0.0,5000,5,49.8366,0.014727414437028876,0.996732,85.54,6.2028,0.08086371883607614,0.45808846209414716,16.965962645638296,0.07920882159214934,50.822,0.9854,50.6638,0.8272,1.938924087993389,1.938924087993389,13.767975752885794,1.6327239567501843,1.0,1.8327607936507935,0.0,98.55497763809413
0.05,1,Estimated Rotating Grid,1.0,1.0,0.0,0.0,0.0,5000,5,49.9522,0.006241299864610636,0.9990439999999999,95.46,5.458,0.035154554754683175,0.4488855944357529,16.96411700118905,0.033944110214227774,50.8328,0.8806,50.7806,0.8284,1.732346044286366,1.732346044286366,13.56540857456944,1.6313316502758926,1.0,1.704918015873016,0.0,98.88754109672094
0.05,1,Robust Rotating Grid,1.25,0.9,0.0,0.0,0.0,5000,5,49.9352,0.005200467671277009,0.998704,93.94,5.7746,0.03353605248087503,0.4250690346299017,15.957566217798457,0.03948312228687507,50.2612,0.326,51.785,1.8498,0.6486116527261585,0.6486116527261585,5.285214560315866,3.5720768562325,1.0,1.69191873015873,0.0,98.8735720299121
0.05,1,Risk-Aware Rotating Grid,1.0,1.0,0.5,0.1,0.5,5000,5,49.9496,0.0048645920692274025,0.9989919999999999,95.17999999999999,5.4272,0.0443341428698019,0.44953283054710047,16.961444545264214,0.024387648305171684,50.8146,0.865,50.7522,0.8026,1.7022666713897188,1.7022666713897188,13.59817216981132,1.5814092788095886,1.0,1.708985396825397,0.5,98.88887616486205
0.05,1,Adaptive Risk-Aware Rotating Grid,1.0,1.0,0.5,0.1,0.5,5000,5,49.952,0.004919560956018331,0.9990399999999999,95.44,5.4204,0.041330447082024324,0.44953411185257747,16.970137822895932,0.033845725379270775,50.8292,0.8772,50.7618,0.8098,1.725779669953491,1.725779669953491,13.725924286030553,1.595294099106021,1.0,1.7086910317460315,0.5143646958167621,98.88965225634193
0.05,2,Estimated Random Probe,1.0,1.0,0.0,0.0,0.0,5000,5,49.9606,0.006459084764888154,0.999212,96.24000000000001,4.6152,0.0699898408627997,0.4351418350962749,16.7906380012567,0.05144129679637831,50.8426,0.882,50.5798,0.6192,1.7347657279525437,1.7347657279525437,16.08597677240423,1.2242041289210317,2.0,1.2802427777777778,0.0,99.04588597943611
0.05,2,Estimated Rotating Grid,1.0,1.0,0.0,0.0,0.0,5000,5,49.9896,0.0022000945434231603,0.999792,98.98,4.076,0.01901301028243564,0.42427816930981355,16.751862169920532,0.06562907164468719,50.844,0.8544,50.5958,0.6062,1.680434269530328,1.680434269530328,17.389597644749756,1.1981231643733274,2.0,1.2497128571428568,0.0,99.17548977456372
0.05,2,Robust Rotating Grid,1.25,0.9,0.0,0.0,0.0,5000,5,49.9862,0.001567999999999479,0.999724,98.64,4.303,0.026127616041269425,0.40359926819846853,15.76711043245123,0.065666926259072,50.306,0.3198,51.3534,1.3672,0.6357094581163281,0.6357094581163281,6.943992563327911,2.6623358920733584,2.0,1.2536064285714286,0.0,99.18086819024855
0.05,2,Risk-Aware Rotating Grid,1.0,1.0,0.5,0.1,0.5,5000,5,49.991,0.0022347438331939877,0.99982,99.11999999999999,4.1018,0.02345785122299127,0.42330561612910994,16.575643025516985,0.025676858236075784,50.7454,0.7544,50.5848,0.5938,1.4866372124369893,1.4866372124369893,15.402993807596665,1.1738704116651641,2.0,1.2588010317460316,0.5,99.17585132174406
0.05,2,Adaptive Risk-Aware Rotating Grid,1.0,1.0,0.5,0.1,0.5,5000,5,49.9892,0.002510024701074678,0.9997839999999999,98.96000000000001,4.0866,0.016276262961748875,0.4230170883523134,16.564642538201408,0.03757341560876706,50.7412,0.752,50.6054,0.6162,1.4820303816228233,1.4820303816228233,15.81265599765086,1.2176566137210654,2.0,1.2554446031746032,0.5324198818239002,99.17328138305771
0.05,4,Estimated Random Probe,1.0,1.0,0.0,0.0,0.0,5000,5,49.9894,0.000999407824664861,0.9997880000000001,98.96000000000001,3.5902,0.029643339622923724,0.41116091416443384,16.57829423790745,0.0276739297838791,50.8454,0.856,50.4724,0.483,1.6835347937079854,1.6835347937079854,19.6757840788814,0.9569586546310458,4.0,0.8625414285714287,0.0,99.26861593656129
0.05,4,Estimated Rotating Grid,1.0,1.0,0.0,0.0,0.0,5000,5,49.994,0.001385929291126342,0.99988,99.42,3.3394,0.0267351472036344,0.3995511989739803,16.532425891011314,0.014271767606940535,50.789,0.795,50.4446,0.4506,1.5652995727421293,1.5652995727421293,19.416661675750134,0.8932571573567835,4.0,0.8064898412698412,0.0,99.33224216752573
0.05,4,Robust Rotating Grid,1.25,0.9,0.0,0.0,0.0,5000,5,49.992,0.0006198064213937598,0.99984,99.22,3.508,0.030641263681512886,0.3828425314608903,15.62381381049013,0.042555283998383285,50.3104,0.3184,51.0002,1.0082,0.6328711359877879,0.6328711359877879,8.38654503990878,1.9768549927255186,4.0,0.8306896031746033,0.0,99.33443460079154
0.05,4,Risk-Aware Rotating Grid,1.0,1.0,0.5,0.1,0.5,5000,5,49.9932,0.0007333648478082164,0.9998640000000001,99.33999999999999,3.3506,0.011588888471290094,0.397624673554857,16.25817584477107,0.042462318912779386,50.6646,0.6714,50.4592,0.466,1.325185632571855,1.325185632571855,17.0059093893631,0.9235184069505661,4.0,0.822152619047619,0.5,99.3299292989793
0.05,4,Adaptive Risk-Aware Rotating Grid,1.0,1.0,0.5,0.1,0.5,5000,5,49.9938,0.0016860557523404726,0.999876,99.4,3.3474,0.030279304087115363,0.3963595834129814,16.230639903955353,0.057577416072496654,50.652,0.6582,50.4456,0.4518,1.2994551054252548,1.2994551054252548,16.48443568142439,0.8956182501546219,4.0,0.8297553968253969,0.5433523615495888,99.33440417612606
0.05,8,Estimated Random Probe,1.0,1.0,0.0,0.0,0.0,5000,5,49.9942,0.0013001169178204854,0.999884,99.44,3.0194,0.019099694657245175,0.38473588846548157,16.453830756315675,0.03458693136885845,50.807,0.8128,50.3556,0.3614,1.5997795579349303,1.5997795579349303,21.60694177651189,0.7176957478413523,8.0,0.48052928571428577,0.0,99.4063394495018
0.05,8,Estimated Rotating Grid,1.0,1.0,0.0,0.0,0.0,5000,5,49.9944,0.0014667296956143861,0.999888,99.46000000000001,2.9274,0.022180065283943645,0.38011958844423016,16.394608327878064,0.0888592349376319,50.7822,0.7878,50.3538,0.3594,1.5513309781773927,1.5513309781773927,21.52080344332855,0.7137495084780096,8.0,0.4358781746031746,0.0,99.43046500829172
0.05,8,Robust Rotating Grid,1.25,0.9,0.0,0.0,0.0,5000,5,49.994,0.001385929291126342,0.99988,99.42,3.0636,0.024113576590792142,0.3655283609297019,15.49990070804365,0.06103218766984744,50.3142,0.3202,50.811,0.817,0.6364008570145208,0.6364008570145208,9.616137877007443,1.6079195449804178,8.0,0.46757666666666664,0.0,99.43202495698611
