config_id,sweep,sweep_value,num_nodes,num_slots,num_irs_elements,num_codebook_states,policy,episodes,success_mean,success_rate_mean,success_std,perfect_rate,slots_mean,slot_fraction_mean,avg_power_mean,total_energy_mean,decision_preview_calls_mean,decision_preview_calls_per_slot_mean,tie_candidates_mean,episode_reward_mean,slot1_tx_mean,slot2_total_mean
K30,K,30,30,10,64,16,Feature Argmax IRS,300,30.0,1.0,0.0,100.0,2.1066666666666665,0.21066666666666664,0.4102753107868164,9.948533390341183,0.0,0.0,3.4138888888888883,59.16087135031259,27.596666666666668,29.85
K30,K,30,30,10,64,16,Feature Argmax PowerTie IRS,300,30.0,1.0,0.0,100.0,2.1066666666666665,0.21066666666666664,0.33086555355370595,9.421837624239345,6.84,3.134444444444444,3.4883333333333333,59.24895255050737,27.596666666666668,29.85
K30,K,30,30,10,64,16,Greedy IRS,300,30.0,1.0,0.0,100.0,2.1066666666666665,0.21066666666666664,0.33086555355370595,9.421837624239345,33.70666666666666,16.0,16.0,59.24895255050737,27.596666666666668,29.85
K30,K,30,30,10,64,16,Random IRS,300,29.973333333333333,0.9991111111111112,0.16110727964792762,97.33333333333334,4.343333333333334,0.43433333333333335,0.42797468649457954,9.76247778920682,0.0,0.0,0.0,58.77770226626996,24.616666666666667,27.893333333333334
K30,K,30,30,10,64,16,No IRS,300,23.356666666666666,0.7785555555555556,2.171663468915527,0.0,10.0,1.0,0.33350860661849796,7.792583750794465,0.0,0.0,0.0,21.72157872246412,23.356666666666666,23.356666666666666
K50,K,50,50,10,64,16,Feature Argmax IRS,300,49.99666666666667,0.9999333333333333,0.05763872155263527,99.66666666666667,2.526666666666667,0.2526666666666667,0.41830936313819944,16.51496630903029,0.0,0.0,2.7490555555555556,99.05825031452765,44.89,49.38333333333333
K50,K,50,50,10,64,16,Feature Argmax PowerTie IRS,300,49.99666666666667,0.9999333333333333,0.05763872155263527,99.66666666666667,2.53,0.253,0.3643258473136927,15.953382095961885,6.286666666666667,2.236166666666666,2.6703888888888887,99.13369759194026,44.89,49.38
K50,K,50,50,10,64,16,Greedy IRS,300,49.99666666666667,0.9999333333333333,0.05763872155263527,99.66666666666667,2.53,0.253,0.3643258473136927,15.953382095961885,40.48,16.0,16.0,99.13369759194026,44.89,49.38
K50,K,50,50,10,64,16,Random IRS,300,49.95666666666666,0.9991333333333333,0.21936777845030528,96.0,5.1433333333333335,0.5143333333333333,0.4525094863162876,16.497795694460265,0.0,0.0,0.0,98.56608527000903,41.13333333333333,46.60333333333333
K50,K,50,50,10,64,16,No IRS,300,38.81,0.7762,2.942884072923476,0.0,10.0,1.0,0.3330448789805889,12.928038826685997,0.0,0.0,0.0,10.115143419732117,38.81,38.81
K80,K,80,80,10,64,16,Feature Argmax IRS,300,79.98666666666666,0.9998333333333332,0.14079141387961921,99.0,3.0633333333333335,0.3063333333333333,0.43714099207813567,26.5671458537682,0.0,0.0,2.608722222222222,158.8990400646392,70.46666666666667,78.28333333333333
K80,K,80,80,10,64,16,Feature Argmax PowerTie IRS,300,79.98666666666666,0.9998333333333332,0.14079141387961921,99.0,3.0833333333333335,0.3083333333333333,0.38107711623380114,25.803287397765228,7.77,2.222888888888889,2.658722222222222,158.9845511271603,70.46666666666667,78.27333333333333
K80,K,80,80,10,64,16,Greedy IRS,300,79.98666666666666,0.9998333333333332,0.14079141387961921,99.0,3.0833333333333335,0.3083333333333333,0.38107711623380114,25.803287397765228,49.333333333333336,16.0,16.0,158.9845511271603,70.46666666666667,78.27333333333333
K80,K,80,80,10,64,16,Random IRS,300,79.93,0.9991249999999998,0.29171904291629647,94.0,6.05,0.605,0.46991914148613717,26.521701399275383,0.0,0.0,0.0,158.2911237341395,65.5,74.45666666666666
K80,K,80,80,10,64,16,No IRS,300,62.016666666666666,0.7752083333333334,3.4741505756403566,0.0,10.0,1.0,0.3358936689541873,20.82190244184758,0.0,0.0,0.0,-44.26960933040808,62.016666666666666,62.016666666666666
N5,N,5,50,5,64,16,Feature Argmax IRS,300,49.99333333333333,0.9998666666666668,0.0813770374382247,99.33333333333333,2.5166666666666666,0.5033333333333333,0.4192714573092762,16.632643378952856,0.0,0.0,2.9618888888888892,99.04926363923201,44.92,49.39666666666667
N5,N,5,50,5,64,16,Feature Argmax PowerTie IRS,300,49.99333333333333,0.9998666666666668,0.0813770374382247,99.33333333333333,2.533333333333333,0.5066666666666667,0.3584294542313728,15.947548088512576,6.883333333333334,2.5462777777777776,2.9499444444444447,99.12901766090225,44.92,49.35333333333333
N5,N,5,50,5,64,16,Greedy IRS,300,49.99333333333333,0.9998666666666668,0.0813770374382247,99.33333333333333,2.533333333333333,0.5066666666666667,0.3584294542313728,15.947548088512576,40.53333333333333,16.0,16.0,99.12901766090225,44.92,49.35333333333333
N5,N,5,50,5,64,16,Random IRS,300,49.54333333333334,0.9908666666666667,0.7128269230481001,64.66666666666666,4.323333333333333,0.8646666666666666,0.4397701210769723,16.290266587764528,0.0,0.0,0.0,97.51263091055756,41.13,46.61666666666667
N5,N,5,50,5,64,16,No IRS,300,38.93666666666667,0.7787333333333334,3.0054376645599485,0.0,5.0,1.0,0.336662725149091,13.111029655037985,0.0,0.0,0.0,11.590001231661192,38.93666666666667,38.93666666666667
