config_id,sweep,sweep_value,num_nodes,num_slots,num_irs_elements,num_codebook_states,policy,slot,tx_mean_padded,total_tx_mean_padded,decision_preview_calls_mean_padded,tie_candidates_mean_padded
K50,K,50,50,10,64,16,Feature Argmax PowerTie IRS,5,0.0,49.99666666666667,0.05333333333333334,0.05333333333333334
K50,K,50,50,10,64,16,Feature Argmax PowerTie IRS,6,0.0,49.99666666666667,0.05333333333333334,0.05333333333333334
K50,K,50,50,10,64,16,Feature Argmax PowerTie IRS,7,0.0,49.99666666666667,0.05333333333333334,0.05333333333333334
K50,K,50,50,10,64,16,Feature Argmax PowerTie IRS,8,0.0,49.99666666666667,0.05333333333333334,0.05333333333333334
K50,K,50,50,10,64,16,Feature Argmax PowerTie IRS,9,0.0,49.99666666666667,0.05333333333333334,0.05333333333333334
K50,K,50,50,10,64,16,Feature Argmax PowerTie IRS,10,0.0,49.99666666666667,0.05333333333333334,0.05333333333333334
K50,K,50,50,10,64,16,Greedy IRS,1,44.89,44.89,16.0,16.0
K50,K,50,50,10,64,16,Greedy IRS,2,4.49,49.38,16.0,16.0
K50,K,50,50,10,64,16,Greedy IRS,3,0.59,49.97,7.68,7.68
K50,K,50,50,10,64,16,Greedy IRS,4,0.02666666666666667,49.99666666666667,0.48,0.48
K50,K,50,50,10,64,16,Greedy IRS,5,0.0,49.99666666666667,0.05333333333333334,0.05333333333333334
K50,K,50,50,10,64,16,Greedy IRS,6,0.0,49.99666666666667,0.05333333333333334,0.05333333333333334
K50,K,50,50,10,64,16,Greedy IRS,7,0.0,49.99666666666667,0.05333333333333334,0.05333333333333334
K50,K,50,50,10,64,16,Greedy IRS,8,0.0,49.99666666666667,0.05333333333333334,0.05333333333333334
K50,K,50,50,10,64,16,Greedy IRS,9,0.0,49.99666666666667,0.05333333333333334,0.05333333333333334
K50,K,50,50,10,64,16,Greedy IRS,10,0.0,49.99666666666667,0.05333333333333334,0.05333333333333334
K50,K,50,50,10,64,16,Random IRS,1,41.13333333333333,41.13333333333333,0.0,0.0
K50,K,50,50,10,64,16,Random IRS,2,5.47,46.60333333333333,0.0,0.0
K50,K,50,50,10,64,16,Random IRS,3,1.8666666666666667,48.47,0.0,0.0
K50,K,50,50,10,64,16,Random IRS,4,0.7166666666666667,49.18666666666667,0.0,0.0
K50,K,50,50,10,64,16,Random IRS,5,0.3466666666666667,49.53333333333333,0.0,0.0
K50,K,50,50,10,64,16,Random IRS,6,0.2,49.733333333333334,0.0,0.0
K50,K,50,50,10,64,16,Random IRS,7,0.12333333333333334,49.85666666666667,0.0,0.0
K50,K,50,50,10,64,16,Random IRS,8,0.06666666666666667,49.92333333333333,0.0,0.0
K50,K,50,50,10,64,16,Random IRS,9,0.023333333333333334,49.946666666666665,0.0,0.0
K50,K,50,50,10,64,16,Random IRS,10,0.01,49.95666666666666,0.0,0.0
K50,K,50,50,10,64,16,No IRS,1,38.81,38.81,0.0,0.0
K50,K,50,50,10,64,16,No IRS,2,0.0,38.81,0.0,0.0
K50,K,50,50,10,64,16,No IRS,3,0.0,38.81,0.0,0.0
K50,K,50,50,10,64,16,No IRS,4,0.0,38.81,0.0,0.0
K50,K,50,50,10,64,16,No IRS,5,0.0,38.81,0.0,0.0
K50,K,50,50,10,64,16,No IRS,6,0.0,38.81,0.0,0.0
K50,K,50,50,10,64,16,No IRS,7,0.0,38.81,0.0,0.0
K50,K,50,50,10,64,16,No IRS,8,0.0,38.81,0.0,0.0
K50,K,50,50,10,64,16,No IRS,9,0.0,38.81,0.0,0.0
K50,K,50,50,10,64,16,No IRS,10,0.0,38.81,0.0,0.0
K80,K,80,80,10,64,16,Feature Argmax IRS,1,70.46666666666667,70.46666666666667,0.0,1.4866666666666666
K80,K,80,80,10,64,16,Feature Argmax IRS,2,7.816666666666666,78.28333333333333,0.0,2.07
K80,K,80,80,10,64,16,Feature Argmax IRS,3,1.5666666666666667,79.85,0.0,3.72
K80,K,80,80,10,64,16,Feature Argmax IRS,4,0.13,79.98,0.0,0.5466666666666666
K80,K,80,80,10,64,16,Feature Argmax IRS,5,0.006666666666666667,79.98666666666666,0.0,0.17666666666666667
K80,K,80,80,10,64,16,Feature Argmax IRS,6,0.0,79.98666666666666,0.0,0.16
K80,K,80,80,10,64,16,Feature Argmax IRS,7,0.0,79.98666666666666,0.0,0.16
K80,K,80,80,10,64,16,Feature Argmax IRS,8,0.0,79.98666666666666,0.0,0.16
K80,K,80,80,10,64,16,Feature Argmax IRS,9,0.0,79.98666666666666,0.0,0.16
K80,K,80,80,10,64,16,Feature Argmax IRS,10,0.0,79.98666666666666,0.0,0.16
K80,K,80,80,10,64,16,Feature Argmax PowerTie IRS,1,70.46666666666667,70.46666666666667,0.8466666666666667,1.4866666666666666
K80,K,80,80,10,64,16,Feature Argmax PowerTie IRS,2,7.806666666666667,78.27333333333333,1.6433333333333333,2.1033333333333335
K80,K,80,80,10,64,16,Feature Argmax PowerTie IRS,3,1.5566666666666666,79.83,3.7066666666666666,3.8466666666666667
K80,K,80,80,10,64,16,Feature Argmax PowerTie IRS,4,0.15333333333333332,79.98333333333333,0.6066666666666667,0.6233333333333333
K80,K,80,80,10,64,16,Feature Argmax PowerTie IRS,5,0.0033333333333333335,79.98666666666666,0.16666666666666666,0.16666666666666666
K80,K,80,80,10,64,16,Feature Argmax PowerTie IRS,6,0.0,79.98666666666666,0.16,0.16
K80,K,80,80,10,64,16,Feature Argmax PowerTie IRS,7,0.0,79.98666666666666,0.16,0.16
K80,K,80,80,10,64,16,Feature Argmax PowerTie IRS,8,0.0,79.98666666666666,0.16,0.16
K80,K,80,80,10,64,16,Feature Argmax PowerTie IRS,9,0.0,79.98666666666666,0.16,0.16
K80,K,80,80,10,64,16,Feature Argmax PowerTie IRS,10,0.0,79.98666666666666,0.16,0.16
K80,K,80,80,10,64,16,Greedy IRS,1,70.46666666666667,70.46666666666667,16.0,16.0
K80,K,80,80,10,64,16,Greedy IRS,2,7.806666666666667,78.27333333333333,16.0,16.0
K80,K,80,80,10,64,16,Greedy IRS,3,1.5566666666666666,79.83,13.92,13.92
K80,K,80,80,10,64,16,Greedy IRS,4,0.15333333333333332,79.98333333333333,2.4,2.4
K80,K,80,80,10,64,16,Greedy IRS,5,0.0033333333333333335,79.98666666666666,0.21333333333333335,0.21333333333333335
K80,K,80,80,10,64,16,Greedy IRS,6,0.0,79.98666666666666,0.16,0.16
K80,K,80,80,10,64,16,Greedy IRS,7,0.0,79.98666666666666,0.16,0.16
K80,K,80,80,10,64,16,Greedy IRS,8,0.0,79.98666666666666,0.16,0.16
K80,K,80,80,10,64,16,Greedy IRS,9,0.0,79.98666666666666,0.16,0.16
K80,K,80,80,10,64,16,Greedy IRS,10,0.0,79.98666666666666,0.16,0.16
K80,K,80,80,10,64,16,Random IRS,1,65.5,65.5,0.0,0.0
K80,K,80,80,10,64,16,Random IRS,2,8.956666666666667,74.45666666666666,0.0,0.0
K80,K,80,80,10,64,16,Random IRS,3,3.026666666666667,77.48333333333333,0.0,0.0
K80,K,80,80,10,64,16,Random IRS,4,1.14,78.62333333333333,0.0,0.0
K80,K,80,80,10,64,16,Random IRS,5,0.5733333333333334,79.19666666666667,0.0,0.0
K80,K,80,80,10,64,16,Random IRS,6,0.3433333333333333,79.54,0.0,0.0
K80,K,80,80,10,64,16,Random IRS,7,0.21,79.75,0.0,0.0
K80,K,80,80,10,64,16,Random IRS,8,0.09,79.84,0.0,0.0
K80,K,80,80,10,64,16,Random IRS,9,0.056666666666666664,79.89666666666666,0.0,0.0
K80,K,80,80,10,64,16,Random IRS,10,0.03333333333333333,79.93,0.0,0.0
K80,K,80,80,10,64,16,No IRS,1,62.016666666666666,62.016666666666666,0.0,0.0
K80,K,80,80,10,64,16,No IRS,2,0.0,62.016666666666666,0.0,0.0
K80,K,80,80,10,64,16,No IRS,3,0.0,62.016666666666666,0.0,0.0
K80,K,80,80,10,64,16,No IRS,4,0.0,62.016666666666666,0.0,0.0
K80,K,80,80,10,64,16,No IRS,5,0.0,62.016666666666666,0.0,0.0
K80,K,80,80,10,64,16,No IRS,6,0.0,62.016666666666666,0.0,0.0
K80,K,80,80,10,64,16,No IRS,7,0.0,62.016666666666666,0.0,0.0
K80,K,80,80,10,64,16,No IRS,8,0.0,62.016666666666666,0.0,0.0
K80,K,80,80,10,64,16,No IRS,9,0.0,62.016666666666666,0.0,0.0
K80,K,80,80,10,64,16,No IRS,10,0.0,62.016666666666666,0.0,0.0
N5,N,5,50,5,64,16,Feature Argmax IRS,1,44.92,44.92,0.0,1.62
N5,N,5,50,5,64,16,Feature Argmax IRS,2,4.476666666666667,49.39666666666667,0.0,3.2533333333333334
N5,N,5,50,5,64,16,Feature Argmax IRS,3,0.56,49.95666666666666,0.0,2.6433333333333335
N5,N,5,50,5,64,16,Feature Argmax IRS,4,0.03666666666666667,49.99333333333333,0.0,0.22
N5,N,5,50,5,64,16,Feature Argmax IRS,5,0.0,49.99333333333333,0.0,0.10666666666666667
N5,N,5,50,5,64,16,Feature Argmax PowerTie IRS,1,44.92,44.92,0.9966666666666667,1.62
N5,N,5,50,5,64,16,Feature Argmax PowerTie IRS,2,4.433333333333334,49.35333333333333,2.986666666666667,3.276666666666667
N5,N,5,50,5,64,16,Feature Argmax PowerTie IRS,3,0.6033333333333334,49.95666666666666,2.6033333333333335,2.6366666666666667
N5,N,5,50,5,64,16,Feature Argmax PowerTie IRS,4,0.03666666666666667,49.99333333333333,0.19,0.2
N5,N,5,50,5,64,16,Feature Argmax PowerTie IRS,5,0.0,49.99333333333333,0.10666666666666667,0.10666666666666667
N5,N,5,50,5,64,16,Greedy IRS,1,44.92,44.92,16.0,16.0
N5,N,5,50,5,64,16,Greedy IRS,2,4.433333333333334,49.35333333333333,15.946666666666667,15.946666666666667
N5,N,5,50,5,64,16,Greedy IRS,3,0.6033333333333334,49.95666666666666,7.786666666666667,7.786666666666667
N5,N,5,50,5,64,16,Greedy IRS,4,0.03666666666666667,49.99333333333333,0.6933333333333334,0.6933333333333334
N5,N,5,50,5,64,16,Greedy IRS,5,0.0,49.99333333333333,0.10666666666666667,0.10666666666666667
N5,N,5,50,5,64,16,Random IRS,1,41.13,41.13,0.0,0.0
N5,N,5,50,5,64,16,Random IRS,2,5.486666666666666,46.61666666666667,0.0,0.0
N5,N,5,50,5,64,16,Random IRS,3,1.8866666666666667,48.50333333333333,0.0,0.0
N5,N,5,50,5,64,16,Random IRS,4,0.7066666666666667,49.21,0.0,0.0
N5,N,5,50,5,64,16,Random IRS,5,0.3333333333333333,49.54333333333334,0.0,0.0
N5,N,5,50,5,64,16,No IRS,1,38.93666666666667,38.93666666666667,0.0,0.0
N5,N,5,50,5,64,16,No IRS,2,0.0,38.93666666666667,0.0,0.0
N5,N,5,50,5,64,16,No IRS,3,0.0,38.93666666666667,0.0,0.0
N5,N,5,50,5,64,16,No IRS,4,0.0,38.93666666666667,0.0,0.0
N5,N,5,50,5,64,16,No IRS,5,0.0,38.93666666666667,0.0,0.0
N10,N,10,50,10,64,16,Feature Argmax IRS,1,44.94,44.94,0.0,1.6433333333333333
N10,N,10,50,10,64,16,Feature Argmax IRS,2,4.56,49.5,0.0,2.72
N10,N,10,50,10,64,16,Feature Argmax IRS,3,0.48333333333333334,49.983333333333334,0.0,2.5366666666666666
N10,N,10,50,10,64,16,Feature Argmax IRS,4,0.016666666666666666,50.0,0.0,0.06666666666666667
N10,N,10,50,10,64,16,Feature Argmax IRS,5,0.0,50.0,0.0,0.0
N10,N,10,50,10,64,16,Feature Argmax IRS,6,0.0,50.0,0.0,0.0
N10,N,10,50,10,64,16,Feature Argmax IRS,7,0.0,50.0,0.0,0.0
N10,N,10,50,10,64,16,Feature Argmax IRS,8,0.0,50.0,0.0,0.0
N10,N,10,50,10,64,16,Feature Argmax IRS,9,0.0,50.0,0.0,0.0
N10,N,10,50,10,64,16,Feature Argmax IRS,10,0.0,50.0,0.0,0.0
N10,N,10,50,10,64,16,Feature Argmax PowerTie IRS,1,44.94,44.94,1.0566666666666666,1.6433333333333333
N10,N,10,50,10,64,16,Feature Argmax PowerTie IRS,2,4.54,49.48,2.3833333333333333,2.73
N10,N,10,50,10,64,16,Feature Argmax PowerTie IRS,3,0.5033333333333333,49.983333333333334,2.3833333333333333,2.4033333333333333
N10,N,10,50,10,64,16,Feature Argmax PowerTie IRS,4,0.016666666666666666,50.0,0.06666666666666667,0.07
N10,N,10,50,10,64,16,Feature Argmax PowerTie IRS,5,0.0,50.0,0.0,0.0
N10,N,10,50,10,64,16,Feature Argmax PowerTie IRS,6,0.0,50.0,0.0,0.0
N10,N,10,50,10,64,16,Feature Argmax PowerTie IRS,7,0.0,50.0,0.0,0.0
N10,N,10,50,10,64,16,Feature Argmax PowerTie IRS,8,0.0,50.0,0.0,0.0
N10,N,10,50,10,64,16,Feature Argmax PowerTie IRS,9,0.0,50.0,0.0,0.0
N10,N,10,50,10,64,16,Feature Argmax PowerTie IRS,10,0.0,50.0,0.0,0.0
N10,N,10,50,10,64,16,Greedy IRS,1,44.94,44.94,16.0,16.0
N10,N,10,50,10,64,16,Greedy IRS,2,4.54,49.48,16.0,16.0
N10,N,10,50,10,64,16,Greedy IRS,3,0.5033333333333333,49.983333333333334,6.773333333333333,6.773333333333333
N10,N,10,50,10,64,16,Greedy IRS,4,0.016666666666666666,50.0,0.26666666666666666,0.26666666666666666
N10,N,10,50,10,64,16,Greedy IRS,5,0.0,50.0,0.0,0.0
N10,N,10,50,10,64,16,Greedy IRS,6,0.0,50.0,0.0,0.0
N10,N,10,50,10,64,16,Greedy IRS,7,0.0,50.0,0.0,0.0
N10,N,10,50,10,64,16,Greedy IRS,8,0.0,50.0,0.0,0.0
N10,N,10,50,10,64,16,Greedy IRS,9,0.0,50.0,0.0,0.0
N10,N,10,50,10,64,16,Greedy IRS,10,0.0,50.0,0.0,0.0
N10,N,10,50,10,64,16,Random IRS,1,41.04,41.04,0.0,0.0
N10,N,10,50,10,64,16,Random IRS,2,5.613333333333333,46.653333333333336,0.0,0.0
N10,N,10,50,10,64,16,Random IRS,3,1.7266666666666666,48.38,0.0,0.0
N10,N,10,50,10,64,16,Random IRS,4,0.7866666666666666,49.166666666666664,0.0,0.0
N10,N,10,50,10,64,16,Random IRS,5,0.38,49.54666666666667,0.0,0.0
N10,N,10,50,10,64,16,Random IRS,6,0.17,49.71666666666667,0.0,0.0
N10,N,10,50,10,64,16,Random IRS,7,0.1,49.81666666666667,0.0,0.0
N10,N,10,50,10,64,16,Random IRS,8,0.08,49.89666666666667,0.0,0.0
N10,N,10,50,10,64,16,Random IRS,9,0.03666666666666667,49.93333333333333,0.0,0.0
N10,N,10,50,10,64,16,Random IRS,10,0.02,49.95333333333333,0.0,0.0
N10,N,10,50,10,64,16,No IRS,1,39.03666666666667,39.03666666666667,0.0,0.0
N10,N,10,50,10,64,16,No IRS,2,0.0,39.03666666666667,0.0,0.0
N10,N,10,50,10,64,16,No IRS,3,0.0,39.03666666666667,0.0,0.0
N10,N,10,50,10,64,16,No IRS,4,0.0,39.03666666666667,0.0,0.0
N10,N,10,50,10,64,16,No IRS,5,0.0,39.03666666666667,0.0,0.0
N10,N,10,50,10,64,16,No IRS,6,0.0,39.03666666666667,0.0,0.0
N10,N,10,50,10,64,16,No IRS,7,0.0,39.03666666666667,0.0,0.0
N10,N,10,50,10,64,16,No IRS,8,0.0,39.03666666666667,0.0,0.0
N10,N,10,50,10,64,16,No IRS,9,0.0,39.03666666666667,0.0,0.0
N10,N,10,50,10,64,16,No IRS,10,0.0,39.03666666666667,0.0,0.0
N15,N,15,50,15,64,16,Feature Argmax IRS,1,44.85,44.85,0.0,1.58
N15,N,15,50,15,64,16,Feature Argmax IRS,2,4.626666666666667,49.47666666666667,0.0,2.743333333333333
N15,N,15,50,15,64,16,Feature Argmax IRS,3,0.49666666666666665,49.973333333333336,0.0,2.32
N15,N,15,50,15,64,16,Feature Argmax IRS,4,0.023333333333333334,49.99666666666667,0.0,0.13
N15,N,15,50,15,64,16,Feature Argmax IRS,5,0.0,49.99666666666667,0.0,0.05333333333333334
N15,N,15,50,15,64,16,Feature Argmax IRS,6,0.0,49.99666666666667,0.0,0.05333333333333334
N15,N,15,50,15,64,16,Feature Argmax IRS,7,0.0,49.99666666666667,0.0,0.05333333333333334
N15,N,15,50,15,64,16,Feature Argmax IRS,8,0.0,49.99666666666667,0.0,0.05333333333333334
N15,N,15,50,15,64,16,Feature Argmax IRS,9,0.0,49.99666666666667,0.0,0.05333333333333334
N15,N,15,50,15,64,16,Feature Argmax IRS,10,0.0,49.99666666666667,0.0,0.05333333333333334
N15,N,15,50,15,64,16,Feature Argmax IRS,11,0.0,49.99666666666667,0.0,0.05333333333333334
