Section,Setting,Scenarios,Samples,Seeds,Slots,Failed,Missed,Preview,Gap,DeltaSlotsVsSparse,DeltaMissedVsSparse,DeltaGapVsSparse,Role
Main calibration,Sparse-TopK B=4 sm=3,9,900,3,3.770,5.272,6.643,16.00,2.334,0.000,0.000,0.000,same-preview sparse baseline
Main calibration,Coverage-Aware B=4 cw=0.5 cpw=0,9,900,3,3.649,5.271,6.133,16.00,2.246,-0.121,-0.510,-0.088,selected B=4 coverage reference
Main calibration,Coverage-Aware B=3 sm=4.1 cw=0.5 cpw=0,9,900,3,3.604,5.804,5.438,16.00,2.207,-0.165,-1.204,-0.127,selected same-preview budget split
B=4 coverage-weight ablation,Coverage-Aware cw=0 cpw=0,9,900,3,3.648,5.269,6.129,16.00,2.245,-0.121,-0.513,-0.089,coverage-weight sensitivity row
B=4 coverage-weight ablation,Coverage-Aware cw=0.25 cpw=0,9,900,3,3.648,5.269,6.129,16.00,2.245,-0.121,-0.513,-0.089,coverage-weight sensitivity row
B=4 coverage-weight ablation,Coverage-Aware cw=0.5 cpw=0,9,900,3,3.649,5.271,6.133,16.00,2.246,-0.121,-0.510,-0.088,coverage-weight sensitivity row
B=4 coverage-weight ablation,Coverage-Aware cw=1 cpw=0,9,900,3,3.647,5.264,6.154,16.00,2.252,-0.123,-0.488,-0.082,coverage-weight sensitivity row
B=4 coverage-weight ablation,Coverage-Aware cw=2 cpw=0,9,900,3,3.646,5.264,6.160,16.00,2.255,-0.124,-0.482,-0.079,coverage-weight sensitivity row
