run_seed,episode_index,episode_seed,channel_rho,csi_delay_slots,slot_idx,remaining_before,seed_indices,selected_indices,feedbacks,preview_calls,oracle_index,seed_best_index,selected_best_index,confirmed_index,oracle_tx,seed_best_current_tx,selected_best_current_tx,confirmed_current_tx,actual_success,scheduled,failed,missed,true_opportunities,pool_gap,selection_gap,confirmation_gap,invitation_gap,total_gap,primary_gap_type,oracle_in_seed,oracle_in_selected,confirmed_is_oracle,seed_best_in_selected,selected_best_confirmed,stale_confirmed_tx,stale_confirmed_power,coverage_marginal_fraction,coverage_overlap_fraction,episode_done,total_tx_after_slot
2026,77,1933700788,0.98,1,1,8,"[1,2,3,4,5,7,8,9,10,12,13,14,15]","[13,14,4]","[{""irs"":13,""tx"":6.0,""score"":0.099792106,""power"":0.40415789},{""irs"":14,""tx"":5.0,""score"":0.084636226,""power"":0.307275498},{""irs"":4,""tx"":5.0,""score"":0.082919189,""power"":0.34161624}]",16,13,13,13,13,6,6,6,6,6,7,1,0,6,0,0,0,0,0,none,1,1,1,1,1,7,0.37083038984094197,0.05333333333333334,0.6111111111111112,0,48
2026,77,1933700788,0.98,1,2,2,"[2,3,4,5,6,8,9,10,11,13,14,15,0]","[6,14,2]","[{""irs"":6,""tx"":2.0,""score"":0.028136752,""power"":0.237264962},{""irs"":14,""tx"":2.0,""score"":0.01882693,""power"":0.423461407},{""irs"":2,""tx"":1.0,""score"":-0.004453893,""power"":0.489077885}]",16,6,6,6,6,2,2,2,2,2,2,0,0,2,0,0,0,0,0,none,1,1,1,1,1,2,0.2188385508841634,0.013333333333333334,0.6666666666666666,1,50
2026,78,8899727,0.98,1,0,50,"[0,1,2,3,4,6,7,8,9,11,12,13,14]","[13,0,7]","[{""irs"":13,""tx"":42.0,""score"":0.826162367,""power"":0.27675267},{""irs"":0,""tx"":42.0,""score"":0.824524611,""power"":0.309507798},{""irs"":7,""tx"":42.0,""score"":0.821418472,""power"":0.371630572}]",16,5,6,13,13,43,43,42,42,41,43,2,1,42,0,1,0,1,2,invitation,0,0,0,0,1,43,0.3181845094041837,0.3333333333333333,0.6124031007751939,0,41
2026,78,8899727,0.98,1,1,9,"[1,2,3,4,5,7,8,9,10,12,13,14,15]","[3,15,2]","[{""irs"":3,""tx"":7.0,""score"":0.122123463,""power"":0.357530752},{""irs"":15,""tx"":7.0,""score"":0.122835299,""power"":0.343294028},{""irs"":2,""tx"":7.0,""score"":0.114915002,""power"":0.501699974}]",16,6,14,15,15,9,8,7,7,7,7,0,0,7,1,1,0,0,2,selection,0,0,0,0,1,7,0.43307817310970426,0.06,0.5714285714285714,0,48
2026,78,8899727,0.98,1,2,2,"[2,3,4,5,6,8,9,10,11,13,14,15,0]","[6,14,4]","[{""irs"":6,""tx"":2.0,""score"":0.014330941,""power"":0.513381185},{""irs"":14,""tx"":1.0,""score"":-0.014251089,""power"":0.685021808},{""irs"":4,""tx"":1.0,""score"":0.009315359,""power"":0.213692813}]",16,6,6,6,6,2,2,2,2,2,2,0,0,2,0,0,0,0,0,none,1,1,1,1,1,2,0.295422473300761,0.013333333333333334,0.6666666666666666,1,50
2026,79,685781301,0.98,1,0,50,"[0,1,2,3,4,6,7,8,9,11,12,13,14]","[7,0,11]","[{""irs"":7,""tx"":41.0,""score"":0.806035878,""power"":0.279282447},{""irs"":0,""tx"":40.0,""score"":0.784706326,""power"":0.305873477},{""irs"":11,""tx"":41.0,""score"":0.803060989,""power"":0.338780239}]",16,2,2,7,7,42,42,41,41,37,41,4,4,41,0,1,0,4,5,invitation,1,0,0,0,1,41,0.281781012315359,0.3333333333333333,0.593089430894309,0,37
2026,79,685781301,0.98,1,1,13,"[1,2,3,4,5,7,8,9,10,12,13,14,15]","[2,10,15]","[{""irs"":2,""tx"":10.0,""score"":0.177897512,""power"":0.442049767},{""irs"":10,""tx"":11.0,""score"":0.198920375,""power"":0.421592516},{""irs"":15,""tx"":9.0,""score"":0.161350817,""power"":0.372983657}]",16,10,10,10,10,11,11,11,11,10,11,1,1,11,0,0,0,1,1,invitation,1,1,1,1,1,11,0.48981455083217323,0.08666666666666667,0.6666666666666666,0,47
2026,79,685781301,0.98,1,2,3,"[2,3,4,5,6,8,9,10,11,13,14,15,0]","[9,13,14]","[{""irs"":9,""tx"":2.0,""score"":0.009690446,""power"":0.60619109},{""irs"":13,""tx"":2.0,""score"":0.028075418,""power"":0.238491656},{""irs"":14,""tx"":2.0,""score"":0.027758305,""power"":0.244833896}]",16,3,3,13,13,3,3,2,2,2,2,0,0,2,0,1,0,0,1,selection,1,0,0,0,1,2,0.18893616830754725,0.02,0.6666666666666666,0,49
2026,79,685781301,0.98,1,3,1,"[3,4,5,6,7,9,10,11,12,14,15,0,1]","[15,0,11]","[{""irs"":15,""tx"":1.0,""score"":-0.0024421,""power"":0.448842008},{""irs"":0,""tx"":1.0,""score"":-0.0024421,""power"":0.448842008},{""irs"":11,""tx"":1.0,""score"":-0.00283295,""power"":0.456659011}]",16,2,3,15,15,1,1,1,1,1,1,0,0,1,0,0,0,0,0,none,0,0,0,0,1,1,0.4981937142368974,0.006666666666666667,0.6666666666666666,1,50
2026,80,876960787,0.98,1,0,50,"[0,1,2,3,4,6,7,8,9,11,12,13,14]","[8,3,12]","[{""irs"":8,""tx"":47.0,""score"":0.925952601,""power"":0.280947989},{""irs"":3,""tx"":42.0,""score"":0.826536218,""power"":0.26927565},{""irs"":12,""tx"":43.0,""score"":0.846244034,""power"":0.275119328}]",16,8,8,8,8,47,47,47,47,45,46,1,2,47,0,0,0,2,2,invitation,1,1,1,1,1,46,0.276259639168819,0.3333333333333333,0.6356589147286821,0,45
2026,80,876960787,0.98,1,1,5,"[1,2,3,4,5,7,8,9,10,12,13,14,15]","[3,7,12]","[{""irs"":3,""tx"":5.0,""score"":0.076742179,""power"":0.465156437},{""irs"":7,""tx"":3.0,""score"":0.047154372,""power"":0.256912571},{""irs"":12,""tx"":4.0,""score"":0.065727601,""power"":0.285448005}]",16,3,3,3,3,5,5,5,5,5,5,0,0,5,0,0,0,0,0,none,1,1,1,1,1,5,0.3138494810613065,0.03333333333333333,0.6666666666666666,1,50
2026,81,1494637601,0.98,1,0,50,"[0,1,2,3,4,6,7,8,9,11,12,13,14]","[12,1,8]","[{""irs"":12,""tx"":46.0,""score"":0.90236962,""power"":0.3526076},{""irs"":1,""tx"":41.0,""score"":0.805653325,""power"":0.286933504},{""irs"":8,""tx"":43.0,""score"":0.842835259,""power"":0.343294823}]",16,12,12,12,12,46,46,46,46,43,45,2,3,46,0,0,0,3,3,invitation,1,1,1,1,1,45,0.3210663872734086,0.3333333333333333,0.6284355179704016,0,43
