decision_error_std,execution_error_std,mismatch_model,channel_rho,csi_delay_slots,probe_budget,policy,episodes,num_seeds,num_nodes,num_slots,num_irs_elements,num_codebook_states,g_th,alpha_th,gain_margin,power_margin,risk_weight,risk_power_weight,risk_invite_threshold,adaptive_risk_base_weight,opportunity_failure_cost,opportunity_missed_cost,opportunity_deadline_gain,opportunity_backlog_gain,temporal_reliability_z,success_mean,success_ci95,success_rate_mean,perfect_rate,slots_mean,slots_ci95,avg_power,total_energy_mean,total_energy_ci95,scheduled_nodes_mean,failed_nodes_mean,missed_opportunities_mean,true_opportunities_mean,failure_slot_rate,decision_preview_calls_per_slot_mean,oracle_tx_gap_mean,effective_risk_weight_mean,avg_reward
0.0,0.0,temporal_ar1,0.7,2,4,Temporal Deviation Oracle B=4,300,3,50,10,64,16,0.001,0.05,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,1.0,100.0,3.1666666666666665,0.052266666666666704,0.38218933723850007,16.23536146180753,0.21500927044000936,50.3,0.3,1.53,51.53,7.766666666666666,4.0,0.5001111111111111,0.0,99.40642503926234
0.0,0.0,temporal_ar1,0.7,3,16,Execution Oracle Full CSI,300,3,50,10,64,16,0.001,0.05,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,1.0,100.0,2.1466666666666665,0.051026964549256724,0.30412894935832685,15.479442177673375,0.22445785010117453,50.0,0.0,0.0,50.0,0.0,16.0,0.0,0.0,99.67618169503832
0.0,0.0,temporal_ar1,0.7,3,16,Exact Greedy Full CSI,300,3,50,10,64,16,0.001,0.05,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,1.0,100.0,3.4633333333333334,0.09146666666666646,0.35642994346744483,16.736024442343755,0.14500817271317265,51.733333333333334,1.7333333333333334,0.62,50.62,30.827777777777772,16.0,0.5970846560846561,0.0,99.38405868680394
0.0,0.0,temporal_ar1,0.7,3,4,Estimated Rotating Grid B=4,300,3,50,10,64,16,0.001,0.05,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,1.0,100.0,4.1433333333333335,0.10205392909851398,0.3898802813549818,16.992118605302185,0.13595711291162285,52.03666666666667,2.0366666666666666,1.8666666666666667,51.86666666666667,31.6765873015873,4.0,1.2874404761904763,0.0,99.20424765541875
0.0,0.0,temporal_ar1,0.7,3,4,Rotating Feedback Confirm Grid B=4,300,3,50,10,64,16,0.001,0.05,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.99333333333333,0.01306666666666871,0.9998666666666667,99.33333333333333,4.943333333333333,0.12617962505007602,0.41969922114292824,16.59196765696964,0.11057278607197028,50.736666666666665,0.7433333333333333,4.83,54.82333333333333,12.292460317460318,8.0,1.4014087301587301,0.0,99.09420478486133
0.0,0.0,temporal_ar1,0.7,3,4,Stale-TopK Feedback Grid B=4,300,3,50,10,64,16,0.001,0.05,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,1.0,100.0,3.85,0.08160130717907248,0.3867282772761165,16.3150645620766,0.19090494712605144,50.54,0.54,2.6266666666666665,52.626666666666665,11.203968253968254,20.0,0.7235648148148148,0.0,99.34192274296521
0.0,0.0,temporal_ar1,0.7,3,4,Temporal Deviation Oracle B=4,300,3,50,10,64,16,0.001,0.05,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,1.0,100.0,3.25,0.0408006535895361,0.39955798494132,16.304259147674006,0.21037063086770214,50.3,0.3,1.6233333333333333,51.623333333333335,7.688888888888888,4.0,0.5017222222222223,0.0,99.36725307818264
0.0,0.0,temporal_ar1,0.9,1,16,Execution Oracle Full CSI,300,3,50,10,64,16,0.001,0.05,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,1.0,100.0,2.3,0.049325584977102335,0.3305100801682961,15.793410003731582,0.15357364651233654,50.0,0.0,0.0,50.0,0.0,16.0,0.0,0.0,99.621894596505
0.0,0.0,temporal_ar1,0.9,1,16,Exact Greedy Full CSI,300,3,50,10,64,16,0.001,0.05,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,1.0,100.0,3.14,0.07420440238512374,0.349557262073594,16.51630141648509,0.16984755210382685,51.266666666666666,1.2666666666666666,0.33666666666666667,50.336666666666666,26.21111111111111,16.0,0.4586666666666667,0.0,99.44579814129116
0.0,0.0,temporal_ar1,0.9,1,4,Estimated Rotating Grid B=4,300,3,50,10,64,16,0.001,0.05,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,1.0,100.0,3.8066666666666666,0.062324027825907055,0.3853349973918274,16.82248100919726,0.1754419230929482,51.7,1.7,1.05,51.05,28.829365079365083,4.0,1.1690158730158728,0.0,99.2642136311188
0.0,0.0,temporal_ar1,0.9,1,4,Rotating Feedback Confirm Grid B=4,300,3,50,10,64,16,0.001,0.05,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,1.0,100.0,3.9433333333333334,0.181880302519114,0.38235834010123027,16.286036855620534,0.04319870390072419,50.64,0.64,2.43,52.43,12.5473544973545,8.0,1.2044854497354498,0.0,99.28911361323597
0.0,0.0,temporal_ar1,0.9,1,4,Stale-TopK Feedback Grid B=4,300,3,50,10,64,16,0.001,0.05,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,1.0,100.0,3.183333333333333,0.10514404933761634,0.35983594035396727,16.16424418686625,0.13927509386689843,50.50666666666667,0.5066666666666667,1.1133333333333333,51.11333333333334,12.114285714285714,20.0,0.4736904761904762,0.0,99.43009318286877
0.0,0.0,temporal_ar1,0.9,1,4,Temporal Deviation Oracle B=4,300,3,50,10,64,16,0.001,0.05,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,1.0,100.0,2.92,0.0408006535895361,0.3530025950356092,16.107281546647958,0.1134500692435731,50.39666666666667,0.39666666666666667,0.8233333333333334,50.82333333333333,11.416666666666666,4.0,0.3731111111111111,0.0,99.48413188497577
0.0,0.0,temporal_ar1,0.9,2,16,Execution Oracle Full CSI,300,3,50,10,64,16,0.001,0.05,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,1.0,100.0,2.3,0.049325584977102335,0.3305100801682961,15.793410003731582,0.15357364651233654,50.0,0.0,0.0,50.0,0.0,16.0,0.0,0.0,99.621894596505
0.0,0.0,temporal_ar1,0.9,2,16,Exact Greedy Full CSI,300,3,50,10,64,16,0.001,0.05,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,1.0,100.0,3.3633333333333333,0.06232402782590723,0.35713993522282933,16.673179739104313,0.15481462370997806,51.54,1.54,0.4,50.4,28.98888888888889,16.0,0.506611111111111,0.0,99.39422637254991
0.0,0.0,temporal_ar1,0.9,2,4,Estimated Rotating Grid B=4,300,3,50,10,64,16,0.001,0.05,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,1.0,100.0,4.083333333333333,0.04284193169210642,0.39742157233921016,17.036412028325675,0.08899093441262719,51.96666666666667,1.9666666666666666,1.23,51.23,30.76587301587302,4.0,1.1930436507936508,0.0,99.19132972893216
0.0,0.0,temporal_ar1,0.9,2,4,Rotating Feedback Confirm Grid B=4,300,3,50,10,64,16,0.001,0.05,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,1.0,100.0,4.553333333333334,0.26642866045362185,0.40306533920871807,16.435070475636362,0.03785608225712693,50.70333333333333,0.7033333333333334,3.3633333333333333,53.36333333333334,11.86137566137566,8.0,1.2440939153439152,0.0,99.17806639936667
0.0,0.0,temporal_ar1,0.9,2,4,Stale-TopK Feedback Grid B=4,300,3,50,10,64,16,0.001,0.05,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,1.0,100.0,3.5566666666666666,0.04711253666606283,0.3729164441395028,16.240614395201113,0.12803288895103795,50.53333333333333,0.5333333333333333,1.59,51.59,11.709126984126984,20.0,0.5425119047619048,0.0,99.38164615299969
0.0,0.0,temporal_ar1,0.9,2,4,Temporal Deviation Oracle B=4,300,3,50,10,64,16,0.001,0.05,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,1.0,100.0,3.1033333333333335,0.051026964549256724,0.37284556435958915,16.204832956085745,0.10848054157040778,50.43333333333333,0.43333333333333335,1.0333333333333334,51.03333333333333,11.544444444444444,4.0,0.4006666666666666,0.0,99.42484455848549
0.0,0.0,temporal_ar1,0.9,3,16,Execution Oracle Full CSI,300,3,50,10,64,16,0.001,0.05,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,1.0,100.0,2.3,0.049325584977102335,0.3305100801682961,15.793410003731582,0.15357364651233654,50.0,0.0,0.0,50.0,0.0,16.0,0.0,0.0,99.621894596505
0.0,0.0,temporal_ar1,0.9,3,16,Exact Greedy Full CSI,300,3,50,10,64,16,0.001,0.05,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,1.0,100.0,3.55,0.09262598627455125,0.3613271908486238,16.767035586205875,0.18609648701074583,51.74333333333333,1.7433333333333334,0.4266666666666667,50.42666666666667,30.56428571428571,16.0,0.5159960317460317,0.0,99.35320430175894
0.0,0.0,temporal_ar1,0.9,3,4,Estimated Rotating Grid B=4,300,3,50,10,64,16,0.001,0.05,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,1.0,100.0,4.21,0.011316065276116425,0.40009722064458475,17.084215555986834,0.12451510585384216,52.03666666666667,2.0366666666666666,1.2733333333333334,51.27333333333333,30.716269841269845,4.0,1.1865648148148147,0.0,99.16576553706128
0.0,0.0,temporal_ar1,0.9,3,4,Rotating Feedback Confirm Grid B=4,300,3,50,10,64,16,0.001,0.05,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.99333333333333,0.01306666666666871,0.9998666666666667,99.33333333333333,4.88,0.25023604856215265,0.4131755373938298,16.50874099291179,0.1297317361292402,50.75333333333333,0.76,3.89,53.88333333333333,11.992063492063492,8.0,1.271776455026455,0.0,99.1173779326656
0.0,0.0,temporal_ar1,0.9,3,4,Stale-TopK Feedback Grid B=4,300,3,50,10,64,16,0.001,0.05,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,1.0,100.0,3.7866666666666666,0.16682403237476828,0.3766999599356527,16.279489887408783,0.10106925947608592,50.61333333333334,0.6133333333333333,1.77,51.77,12.297883597883597,20.0,0.5557050264550264,0.0,99.35115825854191
