decision_error_std,execution_error_std,mismatch_model,channel_rho,csi_delay_slots,probe_budget,policy,episodes,num_seeds,num_nodes,num_slots,num_irs_elements,num_codebook_states,g_th,alpha_th,gain_margin,power_margin,risk_weight,risk_power_weight,risk_invite_threshold,adaptive_risk_base_weight,opportunity_failure_cost,opportunity_missed_cost,opportunity_deadline_gain,opportunity_backlog_gain,temporal_reliability_z,sparse_topk_seed_multiplier,sparse_topk_fraction,adaptive_sparse_base_multiplier,adaptive_sparse_expanded_multiplier,adaptive_sparse_margin_threshold,adaptive_sparse_v2_preview_cost,adaptive_sparse_v2_uncertainty_weight,adaptive_sparse_v2_urgency_weight,adaptive_sparse_v2_history_weight,adaptive_sparse_history_window,adaptive_sparse_v3_neighbor_radius,adaptive_sparse_v3_neighbor_count,adaptive_sparse_v3_history_count,success_mean,success_ci95,success_rate_mean,perfect_rate,slots_mean,slots_ci95,avg_power,total_energy_mean,total_energy_ci95,scheduled_nodes_mean,failed_nodes_mean,missed_opportunities_mean,true_opportunities_mean,failure_slot_rate,decision_preview_calls_per_slot_mean,oracle_tx_gap_mean,effective_risk_weight_mean,adaptive_sparse_expansion_rate,adaptive_sparse_margin_mean,adaptive_sparse_effective_margin_threshold_mean,adaptive_sparse_expand_score_mean,adaptive_sparse_history_stability_mean,adaptive_sparse_urgency_mean,adaptive_sparse_cost_penalty_mean,adaptive_sparse_v3_history_prior_rate,adaptive_sparse_v3_neighbor_extra_preview_mean,adaptive_sparse_v3_selected_extra_preview_mean,avg_reward
0.0,0.0,temporal_ar1,0.7,2,4,Adaptive Sparse-TopK V2 Feedback Grid B=4 bm=2 em=3 mt=0.05 pc=0.002 tf=0.75,200,2,50,10,64,16,0.001,0.05,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,2.0,3.0,0.05,0.002,0.02,0.5,0.02,3,0,0,0,50.0,0.0,1.0,100.0,3.53,0.1372000000000001,0.3755580405734662,16.309046532125077,0.2297705545677094,50.51,0.51,2.305,52.305,11.859523809523807,15.37795238095238,0.7854801587301589,0.0,0.8444880952380953,0.021052698412698412,0.0502240376984127,0.021171339285714286,0.498954365079365,6.25e-06,0.008000000000000002,0.0,0.0,0.0,99.37766363612621
0.0,0.0,temporal_ar1,0.7,2,4,Adaptive Sparse-TopK V3 Feedback Grid B=4 bm=2 nr=1 nc=2 hc=1 tf=0.75,200,2,50,10,64,16,0.001,0.05,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,2.0,2.0,0.0,0.0,0.0,0.0,0.0,3,1,2,1,50.0,0.0,1.0,100.0,3.8,0.05880000000000005,0.38037861692395764,16.37824530808883,0.19864952422236776,50.61,0.61,3.035,53.035,13.079761904761906,12.914571428571428,1.003440476190476,0.0,0.0,0.020616190476190475,0.0,0.0,0.5102847222222222,1.1884920634920634e-05,0.0,0.34169642857142857,0.7158035714285714,0.9145714285714286,99.34844172757545
0.0,0.0,temporal_ar1,0.7,2,4,Stale-TopK Feedback Grid B=4,200,2,50,10,64,16,0.001,0.05,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,49.995,0.00979999999999805,0.9998999999999999,99.5,3.64,0.05880000000000005,0.3769869738437697,16.357313954710307,0.039358882217889996,50.5,0.505,2.35,52.345,10.813690476190475,20.0,0.6960714285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.36459113918794
0.0,0.0,temporal_ar1,0.7,2,4,Temporal Deviation Oracle B=4,200,2,50,10,64,16,0.001,0.05,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,50.0,0.0,1.0,100.0,3.14,0.0,0.38159337951581696,16.344465608289514,0.038717270486568436,50.33,0.33,1.445,51.445,8.758333333333333,4.0,0.48949999999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.4155083102826
0.0,0.0,temporal_ar1,0.7,3,4,Estimated Rotating Grid B=4,200,2,50,10,64,16,0.001,0.05,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,50.0,0.0,1.0,100.0,4.14,0.17640000000000058,0.38947144873288164,16.947445906165463,0.18014866632522955,52.005,2.005,1.82,51.82,30.99345238095238,4.0,1.2565178571428572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.20462957491918
0.0,0.0,temporal_ar1,0.7,3,4,Sparse-TopK Feedback Grid B=4 sm=2 tf=0.75,200,2,50,10,64,16,0.001,0.05,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,50.0,0.0,1.0,100.0,4.03,0.07840000000000007,0.4068571506288414,16.473496317647605,0.1042170773894746,50.61,0.61,2.64,52.64,12.091071428571428,12.0,0.8855099206349206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.25688668802734
0.0,0.0,temporal_ar1,0.7,3,4,Sparse-TopK Feedback Grid B=4 sm=3 tf=0.75,200,2,50,10,64,16,0.001,0.05,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,50.0,0.0,1.0,100.0,3.67,0.1372000000000001,0.40119266199786935,16.403508512679533,0.154829984361776,50.49,0.49,2.22,52.22,11.160714285714285,16.0,0.7193214285714287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.31354210645391
0.0,0.0,temporal_ar1,0.7,3,4,Adaptive Sparse-TopK V2 Feedback Grid B=4 bm=2 em=3 mt=0.05 pc=0.002 tf=0.75,200,2,50,10,64,16,0.001,0.05,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,2.0,3.0,0.05,0.002,0.02,0.5,0.02,3,0,0,0,50.0,0.0,1.0,100.0,3.67,0.15680000000000013,0.4001827481979323,16.425564702329133,0.12632181167191234,50.525,0.525,2.43,52.43,11.869047619047619,15.38547619047619,0.7788214285714283,0.0,0.8463690476190476,0.021331190476190476,0.0532431994047619,0.023912008928571423,0.4951309523809524,1.1636904761904762e-05,0.008000000000000002,0.0,0.0,0.0,99.31988443060027
0.0,0.0,temporal_ar1,0.7,3,4,Adaptive Sparse-TopK V3 Feedback Grid B=4 bm=2 nr=1 nc=2 hc=1 tf=0.75,200,2,50,10,64,16,0.001,0.05,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,2.0,2.0,0.0,0.0,0.0,0.0,0.0,3,1,2,1,50.0,0.0,1.0,100.0,3.995,0.029399999999999808,0.39718418273748624,16.463419419076914,0.19076598689512417,50.64,0.64,3.305,53.305,12.771626984126982,12.91589880952381,1.012543650793651,0.0,0.0,0.020794325396825398,0.0,0.0,0.5045892857142857,1.901502267573696e-05,0.0,0.32809126984126985,0.7220813492063491,0.9158988095238095,99.30759540188757
0.0,0.0,temporal_ar1,0.7,3,4,Stale-TopK Feedback Grid B=4,200,2,50,10,64,16,0.001,0.05,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,50.0,0.0,1.0,100.0,3.84,0.1372000000000001,0.38517417989249986,16.411761051286145,0.03968355434530302,50.54,0.54,2.55,52.55,11.233333333333333,20.0,0.7001686507936508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.34469671250086
