label,trace_slots,slots_with_gap,avg_total_gap,avg_pool_gap,avg_selection_gap,avg_confirmation_gap,avg_invitation_gap,pool_gap_share,selection_gap_share,confirmation_gap_share,invitation_gap_share,primary_pool_rate,primary_selection_rate,primary_confirmation_rate,primary_invitation_rate,oracle_not_in_seed_rate,oracle_in_seed_not_selected_rate,oracle_selected_not_confirmed_rate,avg_actual_success,avg_scheduled,avg_failed,avg_missed,avg_true_opportunities
overall,6596,4549,2.2440873256519103,0.06549423893268648,0.5827774408732566,0.05321406913280776,1.5426015767131596,0.029185245237130116,0.2596946358600189,0.023713011755168222,0.6874071071476827,0.011976955730745907,0.11992116434202547,0.04987871437234688,0.507883565797453,0.17480291085506372,0.46209824135839905,0.012431776834445117,13.644329896907216,15.240903577926016,1.5965736810187994,1.5426015767131596,15.186931473620376
"rho=0.7, delay=1",716,506,2.8910614525139664,0.05726256983240224,0.7932960893854749,0.025139664804469275,2.0153631284916202,0.019806763285024155,0.2743961352657005,0.008695652173913044,0.6971014492753623,0.002793296089385475,0.11173184357541899,0.023743016759776536,0.5684357541899442,0.17458100558659218,0.5740223463687151,0.004189944134078212,13.966480446927374,15.939944134078212,1.973463687150838,2.0153631284916202,15.981843575418994
"rho=0.7, delay=2",732,520,2.8756830601092895,0.05874316939890711,0.7978142076502732,0.040983606557377046,1.9781420765027322,0.020427553444180523,0.2774346793349169,0.014251781472684086,0.6878859857482186,0.012295081967213115,0.1133879781420765,0.03551912568306011,0.5491803278688525,0.1693989071038251,0.6366120218579235,0.00273224043715847,13.66120218579235,15.881147540983607,2.219945355191257,1.9781420765027322,15.639344262295081
"rho=0.7, delay=3",695,482,2.8964028776978417,0.05467625899280575,0.879136690647482,0.03884892086330935,1.9237410071942447,0.018877297565822158,0.3035270740188773,0.013412816691505217,0.6641828117237953,0.004316546762589928,0.1683453237410072,0.03597122302158273,0.4848920863309353,0.1683453237410072,0.6532374100719425,0.0014388489208633094,14.388489208633093,16.73093525179856,2.3424460431654675,1.9237410071942447,16.312230215827338
"rho=0.9, delay=1",706,485,2.1940509915014164,0.07790368271954674,0.5354107648725213,0.03541076487252125,1.545325779036827,0.035506778566817304,0.24402840542285345,0.016139444803098774,0.7043253712072305,0.007082152974504249,0.10906515580736544,0.032577903682719546,0.5382436260623229,0.16713881019830024,0.3980169971671388,0.012747875354107648,14.164305949008499,15.647308781869688,1.4830028328611897,1.545325779036827,15.709631728045325
"rho=0.9, delay=2",785,579,2.435668789808917,0.06751592356687898,0.6267515923566879,0.05859872611464968,1.6828025477707007,0.027719665271966527,0.25732217573221755,0.02405857740585774,0.6908995815899581,0.015286624203821656,0.12484076433121019,0.0535031847133758,0.5439490445859873,0.1847133757961783,0.5070063694267516,0.008917197452229299,12.737579617834395,14.429299363057325,1.69171974522293,1.6828025477707007,14.420382165605096
"rho=0.9, delay=3",796,578,2.6118090452261304,0.08542713567839195,0.7349246231155779,0.06155778894472362,1.729899497487437,0.03270803270803271,0.2813852813852814,0.02356902356902357,0.6623376623376623,0.008793969849246231,0.15577889447236182,0.056532663316582916,0.5050251256281407,0.19221105527638194,0.5753768844221105,0.005025125628140704,12.56281407035176,14.493718592964823,1.9309045226130652,1.729899497487437,14.292713567839195
"rho=0.98, delay=1",666,392,1.1306306306306306,0.07057057057057058,0.1831831831831832,0.06006006006006006,0.8168168168168168,0.06241699867197875,0.16201859229747675,0.05312084993359894,0.7224435590969456,0.02252252252252252,0.07207207207207207,0.06006006006006006,0.4339339339339339,0.18318318318318316,0.17717717717717718,0.03003003003003003,15.015015015015015,15.66066066066066,0.6456456456456456,0.8168168168168168,15.831831831831831
"rho=0.98, delay=2",741,480,1.4048582995951417,0.05263157894736842,0.28475033738191635,0.08771929824561403,0.979757085020243,0.037463976945244955,0.2026897214217099,0.06243996157540826,0.6974063400576369,0.018893387314439947,0.09581646423751687,0.08636977058029689,0.446693657219973,0.17543859649122806,0.28609986504723345,0.02699055330634278,13.493927125506072,14.385964912280702,0.8920377867746289,0.979757085020243,14.473684210526315
"rho=0.98, delay=3",759,527,1.686429512516469,0.06324110671936758,0.38603425559947296,0.06719367588932806,1.1699604743083003,0.0375,0.22890625,0.03984375,0.69375,0.015810276679841896,0.1225296442687747,0.061923583662714096,0.49407114624505927,0.1567852437417655,0.32938076416337286,0.021080368906455864,13.175230566534914,14.310935441370225,1.1357048748353096,1.1699604743083003,14.345191040843215
