decision_error_std,execution_error_std,mismatch_model,channel_rho,csi_delay_slots,probe_budget,policy,episodes,num_seeds,num_nodes,num_slots,num_irs_elements,num_codebook_states,g_th,alpha_th,gain_margin,power_margin,risk_weight,risk_power_weight,risk_invite_threshold,adaptive_risk_base_weight,opportunity_failure_cost,opportunity_missed_cost,opportunity_deadline_gain,opportunity_backlog_gain,temporal_reliability_z,sparse_topk_seed_multiplier,sparse_topk_fraction,adaptive_sparse_base_multiplier,adaptive_sparse_expanded_multiplier,adaptive_sparse_margin_threshold,success_mean,success_ci95,success_rate_mean,perfect_rate,slots_mean,slots_ci95,avg_power,total_energy_mean,total_energy_ci95,scheduled_nodes_mean,failed_nodes_mean,missed_opportunities_mean,true_opportunities_mean,failure_slot_rate,decision_preview_calls_per_slot_mean,oracle_tx_gap_mean,effective_risk_weight_mean,adaptive_sparse_expansion_rate,adaptive_sparse_margin_mean,avg_reward
0.0,0.0,temporal_ar1,0.7,2,4,Estimated Rotating Grid B=4,200,2,50,10,64,16,0.001,0.05,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,1.0,100.0,4.105,0.00980000000000066,0.37279212168062065,16.849966795217707,0.20380219965474608,52.04,2.04,1.725,51.725,31.220238095238095,4.0,1.2553154761904761,0.0,0.0,0.0,99.24701308855342
0.0,0.0,temporal_ar1,0.7,2,4,Sparse-TopK Feedback Grid B=4 sm=2 tf=0.75,200,2,50,10,64,16,0.001,0.05,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.75,0.0,0.0,0.0,50.0,0.0,1.0,100.0,3.72,0.05880000000000005,0.3922431212868615,16.395031215070645,0.13476075851333233,50.575,0.575,2.365,52.365,12.352380952380951,12.0,0.8877738095238095,0.0,0.0,0.0,99.30492962976813
0.0,0.0,temporal_ar1,0.7,2,4,Sparse-TopK Feedback Grid B=4 sm=3 tf=0.75,200,2,50,10,64,16,0.001,0.05,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.75,0.0,0.0,0.0,50.0,0.0,1.0,100.0,3.5,0.15680000000000013,0.38076003771464656,16.321460790791118,0.27084620435321144,50.5,0.5,2.06,52.06,11.75952380952381,16.0,0.7187301587301588,0.0,0.0,0.0,99.36015972246773
0.0,0.0,temporal_ar1,0.7,2,4,Adaptive Sparse-TopK Feedback Grid B=4 bm=2 em=3 mt=0 tf=0.75,200,2,50,10,64,16,0.001,0.05,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,2.0,3.0,0.0,50.0,0.0,1.0,100.0,3.72,0.05880000000000005,0.3909912150776666,16.38787370899001,0.1322960736498024,50.575,0.575,2.365,52.365,12.352380952380951,12.0,0.8877738095238095,0.0,0.0,0.020385952380952376,99.30850838280845
0.0,0.0,temporal_ar1,0.7,2,4,Adaptive Sparse-TopK Feedback Grid B=4 bm=2 em=3 mt=0.02 tf=0.75,200,2,50,10,64,16,0.001,0.05,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,2.0,3.0,0.02,50.0,0.0,1.0,100.0,3.65,0.09800000000000007,0.38237855702949214,16.39105469086178,0.13007185199097576,50.57,0.57,2.265,52.265,12.547619047619046,13.52309523809524,0.8482857142857142,0.0,0.3807738095238095,0.020543809523809523,99.32651010515924
0.0,0.0,temporal_ar1,0.7,2,4,Adaptive Sparse-TopK Feedback Grid B=4 bm=2 em=3 mt=0.05 tf=0.75,200,2,50,10,64,16,0.001,0.05,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,2.0,3.0,0.05,50.0,0.0,1.0,100.0,3.505,0.14699999999999988,0.38263627867512473,16.36329338460421,0.22866527513329582,50.495,0.495,2.05,52.05,11.50952380952381,15.566285714285714,0.715063492063492,0.0,0.8915714285714286,0.02098269841269841,99.35699214162594
0.0,0.0,temporal_ar1,0.7,2,4,Adaptive Sparse-TopK Feedback Grid B=4 bm=2 em=3 mt=0.1 tf=0.75,200,2,50,10,64,16,0.001,0.05,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,2.0,3.0,0.1,50.0,0.0,1.0,100.0,3.5,0.15680000000000013,0.38006856202930317,16.315568340046514,0.25312725581906265,50.495,0.495,2.06,52.06,11.659523809523808,15.924809523809524,0.7187301587301588,0.0,0.9812023809523809,0.020961031746031745,99.36310594784001
0.0,0.0,temporal_ar1,0.7,2,4,Adaptive Sparse-TopK Feedback Grid B=4 bm=2 em=3 mt=0.2 tf=0.75,200,2,50,10,64,16,0.001,0.05,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,2.0,3.0,0.2,50.0,0.0,1.0,100.0,3.5,0.15680000000000013,0.38006856202930317,16.315568340046514,0.25312725581906265,50.495,0.495,2.06,52.06,11.659523809523808,16.0,0.7187301587301588,0.0,1.0,0.020961031746031745,99.36310594784001
0.0,0.0,temporal_ar1,0.7,2,4,Stale-TopK Feedback Grid B=4,200,2,50,10,64,16,0.001,0.05,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.995,0.00979999999999805,0.9998999999999999,99.5,3.64,0.05880000000000005,0.3769869738437697,16.357313954710307,0.039358882217889996,50.5,0.505,2.35,52.345,10.813690476190475,20.0,0.6960714285714286,0.0,0.0,0.0,99.36459113918794
0.0,0.0,temporal_ar1,0.7,2,4,Temporal Deviation Oracle B=4,200,2,50,10,64,16,0.001,0.05,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,1.0,100.0,3.14,0.0,0.38159337951581696,16.344465608289514,0.038717270486568436,50.33,0.33,1.445,51.445,8.758333333333333,4.0,0.48949999999999994,0.0,0.0,0.0,99.4155083102826
0.0,0.0,temporal_ar1,0.7,3,4,Estimated Rotating Grid B=4,200,2,50,10,64,16,0.001,0.05,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,1.0,100.0,4.14,0.17640000000000058,0.38947144873288164,16.947445906165463,0.18014866632522955,52.005,2.005,1.82,51.82,30.99345238095238,4.0,1.2565178571428572,0.0,0.0,0.0,99.20462957491918
0.0,0.0,temporal_ar1,0.7,3,4,Sparse-TopK Feedback Grid B=4 sm=2 tf=0.75,200,2,50,10,64,16,0.001,0.05,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.75,0.0,0.0,0.0,50.0,0.0,1.0,100.0,4.03,0.07840000000000007,0.4068571506288414,16.473496317647605,0.1042170773894746,50.61,0.61,2.64,52.64,12.091071428571428,12.0,0.8855099206349206,0.0,0.0,0.0,99.25688668802734
0.0,0.0,temporal_ar1,0.7,3,4,Sparse-TopK Feedback Grid B=4 sm=3 tf=0.75,200,2,50,10,64,16,0.001,0.05,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.75,0.0,0.0,0.0,50.0,0.0,1.0,100.0,3.67,0.1372000000000001,0.40119266199786935,16.403508512679533,0.154829984361776,50.49,0.49,2.22,52.22,11.160714285714285,16.0,0.7193214285714287,0.0,0.0,0.0,99.31354210645391
0.0,0.0,temporal_ar1,0.7,3,4,Adaptive Sparse-TopK Feedback Grid B=4 bm=2 em=3 mt=0 tf=0.75,200,2,50,10,64,16,0.001,0.05,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,2.0,3.0,0.0,50.0,0.0,1.0,100.0,4.03,0.07840000000000007,0.40622702663090415,16.475265909471258,0.14554455063794974,50.63,0.63,2.64,52.64,12.452976190476189,12.0,0.8855099206349206,0.0,0.0,0.02020126984126984,99.2560018921155
