policy,channel_rho,csi_delay_slots,episodes,num_seeds,mask_correction_strength,mask_correction_noise_deadband_z,mask_correction_max_delta,confirmation_feedback_noise_std,success_mean,perfect_rate,slots_mean,failed_nodes_mean,missed_opportunities_mean,true_opportunities_mean,decision_preview_calls_per_slot_mean,oracle_tx_gap_mean,mask_correction_added_mean,mask_correction_pruned_mean,mask_correction_target_delta_mean,mask_correction_applied_rate
Mask-Corrected Coverage-Aware B=3 mc=0.75,0.9,2,900,3,0.75,0.0,-1.0,0.0,50.0,100.0,3.453333333333333,6.3566666666666665,6.277777777777778,56.27777777777778,16.0,2.646790564373898,0.4421150793650793,0.4359470899470899,0.006167989417989416,0.6164100529100529
Noise-Aware Mask-Corrected Coverage-Aware B=3 mc=0.75 clip=2,0.9,2,900,3,0.75,0.0,2.0,0.0,50.0,100.0,3.448888888888889,6.387777777777778,6.224444444444444,56.224444444444444,16.0,2.6407985008818344,0.4093928571428571,0.3928544973544974,0.016538359788359786,0.6135608465608465
Mask-Corrected Coverage-Aware B=3 mc=1,0.9,2,900,3,1.0,0.0,-1.0,0.0,49.99888888888889,99.8888888888889,3.391111111111111,6.332222222222223,6.332222222222223,56.33111111111111,16.0,2.7037402998236333,0.5599642857142857,0.5391746031746032,0.02078968253968254,0.628973544973545
Noise-Aware Mask-Corrected Coverage-Aware B=3 mc=1 clip=2,0.9,2,900,3,1.0,0.0,2.0,0.0,49.99888888888889,99.8888888888889,3.417777777777778,6.375555555555556,6.2155555555555555,56.214444444444446,16.0,2.6628077601410935,0.4564206349206349,0.4280396825396825,0.028380952380952378,0.6196256613756614
Coverage-Aware B=3 sm=4.1,0.9,3,900,3,0.0,0.0,-1.0,0.0,50.0,100.0,3.9788888888888887,7.804444444444444,6.708888888888889,56.708888888888886,16.0,2.571214726631393,0.0,0.0,0.0,0.0
Mask-Corrected Coverage-Aware B=3 mc=0.75,0.9,3,900,3,0.75,0.0,-1.0,0.0,50.0,100.0,3.568888888888889,7.163333333333333,6.98,56.98,16.0,2.8526177248677245,0.4064757495590829,0.5198787477954144,-0.11340299823633157,0.6374757495590828
Noise-Aware Mask-Corrected Coverage-Aware B=3 mc=0.75 clip=2,0.9,3,900,3,0.75,0.0,2.0,0.0,50.0,100.0,3.5533333333333332,7.1755555555555555,6.841111111111111,56.84111111111111,16.0,2.833006613756614,0.3753831569664903,0.454886684303351,-0.07950352733686068,0.6354757495590829
Mask-Corrected Coverage-Aware B=3 mc=1,0.9,3,900,3,1.0,0.0,-1.0,0.0,50.0,100.0,3.528888888888889,7.061111111111111,7.061111111111111,57.06111111111111,16.0,2.8982835097001765,0.5099889770723104,0.633134479717813,-0.12314550264550264,0.6385947971781305
Noise-Aware Mask-Corrected Coverage-Aware B=3 mc=1 clip=2,0.9,3,900,3,1.0,0.0,2.0,0.0,50.0,100.0,3.537777777777778,7.153333333333333,6.843333333333334,56.843333333333334,16.0,2.8402314814814815,0.4180260141093474,0.4905207231040564,-0.07249470899470899,0.6394122574955908
Coverage-Aware B=3 sm=4.1,0.98,1,900,3,0.0,0.0,-1.0,0.0,50.0,100.0,3.2055555555555557,2.0677777777777777,2.58,52.58,16.0,1.0946882716049382,0.0,0.0,0.0,0.0
