label,role,source_file,policy,scenario_key,channel_rho,csi_delay_slots,episodes,num_seeds,success_mean,perfect_rate,slots_mean,failed_nodes_mean,missed_opportunities_mean,failed_plus_missed_mean,true_opportunities_mean,failure_slot_rate,decision_preview_calls_per_slot_mean,oracle_tx_gap_mean,scheduled_nodes_mean,adaptive_sparse_expansion_rate,slots_delta_vs_rotating_b8,failed_delta_vs_rotating_b8,missed_delta_vs_rotating_b8,preview_delta_vs_rotating_b8,gap_delta_vs_rotating_b8
Rotating B=4,low-budget reference,sparse_topk_frontier_ep300_runs3_rho0p7-0p9-0p98_delay1-2-3_b4-8_sm2-3_tf0p75.csv,Estimated Rotating Grid B=4,"rho=0.7, delay=1",0.7,1,900,3,50.0,100.0,3.747777777777778,1.8833333333333333,1.3544444444444443,3.2377777777777776,51.35444444444445,31.643298059964724,4.0,1.2492429453262786,51.88333333333333,0.0,0.3466666666666667,0.20111111111111102,0.5855555555555555,-4.0,0.3937865961199294
Rotating B=4,low-budget reference,sparse_topk_frontier_ep300_runs3_rho0p7-0p9-0p98_delay1-2-3_b4-8_sm2-3_tf0p75.csv,Estimated Rotating Grid B=4,"rho=0.7, delay=2",0.7,2,900,3,50.0,100.0,3.9555555555555557,1.9355555555555555,1.6166666666666667,3.5522222222222224,51.61666666666667,31.454982363315704,4.0,1.2686962081128745,51.93555555555555,0.0,0.40000000000000036,0.23666666666666658,0.6688888888888889,-4.0,0.4005454144620808
Rotating B=4,low-budget reference,sparse_topk_frontier_ep300_runs3_rho0p7-0p9-0p98_delay1-2-3_b4-8_sm2-3_tf0p75.csv,Estimated Rotating Grid B=4,"rho=0.7, delay=3",0.7,3,900,3,50.0,100.0,4.012222222222222,1.9144444444444444,1.7244444444444444,3.638888888888889,51.724444444444444,30.869179894179887,4.0,1.2693849206349206,51.91444444444444,0.0,0.43000000000000016,0.2255555555555555,0.72,-4.0,0.40116225749559087
Rotating B=4,low-budget reference,sparse_topk_frontier_ep300_runs3_rho0p7-0p9-0p98_delay1-2-3_b4-8_sm2-3_tf0p75.csv,Estimated Rotating Grid B=4,"rho=0.9, delay=1",0.9,1,900,3,50.0,100.0,3.7666666666666666,1.6422222222222222,1.0033333333333334,2.6455555555555557,51.00333333333333,27.635714285714286,4.0,1.1417367724867724,51.64222222222222,0.0,0.3966666666666665,0.21111111111111125,0.43000000000000005,-4.0,0.3886481481481481
Rotating B=4,low-budget reference,sparse_topk_frontier_ep300_runs3_rho0p7-0p9-0p98_delay1-2-3_b4-8_sm2-3_tf0p75.csv,Estimated Rotating Grid B=4,"rho=0.9, delay=2",0.9,2,900,3,50.0,100.0,4.0633333333333335,1.9122222222222223,1.2055555555555555,3.1177777777777775,51.205555555555556,30.08611111111111,4.0,1.1639149029982365,51.91222222222222,0.0,0.42333333333333334,0.25,0.5144444444444444,-4.0,0.38568606701940056
Rotating B=4,low-budget reference,sparse_topk_frontier_ep300_runs3_rho0p7-0p9-0p98_delay1-2-3_b4-8_sm2-3_tf0p75.csv,Estimated Rotating Grid B=4,"rho=0.9, delay=3",0.9,3,900,3,49.995555555555555,99.55555555555556,4.217777777777778,2.0,1.2655555555555555,3.2655555555555553,51.26111111111111,30.255643738977078,4.0,1.158002204585538,51.995555555555555,0.0,0.4944444444444449,0.28222222222222215,0.5455555555555556,-4.0,0.3769660493827163
Rotating B=4,low-budget reference,sparse_topk_frontier_ep300_runs3_rho0p7-0p9-0p98_delay1-2-3_b4-8_sm2-3_tf0p75.csv,Estimated Rotating Grid B=4,"rho=0.98, delay=1",0.98,1,900,3,50.0,100.0,3.5844444444444443,0.8466666666666667,0.4955555555555556,1.3422222222222222,50.495555555555555,16.738756613756614,4.0,0.9196622574955909,50.846666666666664,0.0,0.48666666666666636,0.15222222222222226,0.24000000000000005,-4.0,0.3891093474426809
Rotating B=4,low-budget reference,sparse_topk_frontier_ep300_runs3_rho0p7-0p9-0p98_delay1-2-3_b4-8_sm2-3_tf0p75.csv,Estimated Rotating Grid B=4,"rho=0.98, delay=2",0.98,2,900,3,49.99888888888889,99.8888888888889,3.776666666666667,1.0433333333333332,0.5888888888888889,1.632222222222222,50.58777777777778,19.59942680776014,4.0,0.9356393298059965,51.04222222222222,0.0,0.5622222222222222,0.23999999999999988,0.2866666666666667,-4.0,0.3880493827160495
Rotating B=4,low-budget reference,sparse_topk_frontier_ep300_runs3_rho0p7-0p9-0p98_delay1-2-3_b4-8_sm2-3_tf0p75.csv,Estimated Rotating Grid B=4,"rho=0.98, delay=3",0.98,3,900,3,49.99666666666667,99.66666666666667,3.862222222222222,1.0877777777777777,0.6255555555555555,1.7133333333333334,50.62222222222222,19.925440917107583,4.0,0.9378381834215166,51.08444444444444,0.0,0.5888888888888886,0.22999999999999998,0.30666666666666664,-4.0,0.38576807760141085
Rotating B=8,low-cost deployment baseline,sparse_topk_frontier_ep300_runs3_rho0p7-0p9-0p98_delay1-2-3_b4-8_sm2-3_tf0p75.csv,Estimated Rotating Grid B=8,"rho=0.7, delay=1",0.7,1,900,3,50.0,100.0,3.401111111111111,1.6822222222222223,0.7688888888888888,2.451111111111111,50.76888888888889,30.473544973544975,8.0,0.8554563492063492,51.68222222222222,0.0,0.0,0.0,0.0,0.0,0.0
Rotating B=8,low-cost deployment baseline,sparse_topk_frontier_ep300_runs3_rho0p7-0p9-0p98_delay1-2-3_b4-8_sm2-3_tf0p75.csv,Estimated Rotating Grid B=8,"rho=0.7, delay=2",0.7,2,900,3,50.0,100.0,3.5555555555555554,1.698888888888889,0.9477777777777778,2.6466666666666665,50.94777777777778,30.005555555555553,8.0,0.8681507936507937,51.69888888888889,0.0,0.0,0.0,0.0,0.0,0.0
Rotating B=8,low-cost deployment baseline,sparse_topk_frontier_ep300_runs3_rho0p7-0p9-0p98_delay1-2-3_b4-8_sm2-3_tf0p75.csv,Estimated Rotating Grid B=8,"rho=0.7, delay=3",0.7,3,900,3,50.0,100.0,3.582222222222222,1.6888888888888889,1.0044444444444445,2.6933333333333334,51.004444444444445,29.74559082892416,8.0,0.8682226631393297,51.68888888888889,0.0,0.0,0.0,0.0,0.0,0.0
Rotating B=8,low-cost deployment baseline,sparse_topk_frontier_ep300_runs3_rho0p7-0p9-0p98_delay1-2-3_b4-8_sm2-3_tf0p75.csv,Estimated Rotating Grid B=8,"rho=0.9, delay=1",0.9,1,900,3,50.0,100.0,3.37,1.431111111111111,0.5733333333333334,2.0044444444444443,50.57333333333333,26.50198412698413,8.0,0.7530886243386243,51.431111111111115,0.0,0.0,0.0,0.0,0.0,0.0
Rotating B=8,low-cost deployment baseline,sparse_topk_frontier_ep300_runs3_rho0p7-0p9-0p98_delay1-2-3_b4-8_sm2-3_tf0p75.csv,Estimated Rotating Grid B=8,"rho=0.9, delay=2",0.9,2,900,3,50.0,100.0,3.64,1.6622222222222223,0.6911111111111111,2.3533333333333335,50.69111111111111,28.667724867724864,8.0,0.778228835978836,51.66222222222222,0.0,0.0,0.0,0.0,0.0,0.0
Rotating B=8,low-cost deployment baseline,sparse_topk_frontier_ep300_runs3_rho0p7-0p9-0p98_delay1-2-3_b4-8_sm2-3_tf0p75.csv,Estimated Rotating Grid B=8,"rho=0.9, delay=3",0.9,3,900,3,50.0,100.0,3.723333333333333,1.7177777777777778,0.72,2.437777777777778,50.72,28.915652557319227,8.0,0.7810361552028218,51.717777777777776,0.0,0.0,0.0,0.0,0.0,0.0
Rotating B=8,low-cost deployment baseline,sparse_topk_frontier_ep300_runs3_rho0p7-0p9-0p98_delay1-2-3_b4-8_sm2-3_tf0p75.csv,Estimated Rotating Grid B=8,"rho=0.98, delay=1",0.98,1,900,3,50.0,100.0,3.097777777777778,0.6944444444444444,0.25555555555555554,0.95,50.25555555555555,14.913756613756613,8.0,0.53055291005291,50.69444444444444,0.0,0.0,0.0,0.0,0.0,0.0
Rotating B=8,low-cost deployment baseline,sparse_topk_frontier_ep300_runs3_rho0p7-0p9-0p98_delay1-2-3_b4-8_sm2-3_tf0p75.csv,Estimated Rotating Grid B=8,"rho=0.98, delay=2",0.98,2,900,3,50.0,100.0,3.2144444444444447,0.8033333333333333,0.3022222222222222,1.1055555555555556,50.30222222222222,16.355820105820108,8.0,0.547589947089947,50.803333333333335,0.0,0.0,0.0,0.0,0.0,0.0
Rotating B=8,low-cost deployment baseline,sparse_topk_frontier_ep300_runs3_rho0p7-0p9-0p98_delay1-2-3_b4-8_sm2-3_tf0p75.csv,Estimated Rotating Grid B=8,"rho=0.98, delay=3",0.98,3,900,3,50.0,100.0,3.2733333333333334,0.8577777777777778,0.3188888888888889,1.1766666666666667,50.318888888888885,16.741093474426805,8.0,0.5520701058201057,50.85777777777778,0.0,0.0,0.0,0.0,0.0,0.0
Adaptive V2 pc=0.005,adaptive continuum point,adaptive_sparse_topk_v2_pilot_ep100_runs2_rho0p7-0p9-0p98_delay1-2-3_b4_mt0p02-0p05_pc0-0p002-0p005-0p01.csv,Adaptive Sparse-TopK V2 Feedback Grid B=4 bm=2 em=3 mt=0.05 pc=0.005 tf=0.75,"rho=0.7, delay=1",0.7,1,200,2,50.0,100.0,3.275,0.55,1.915,2.465,51.915,13.051190476190474,14.331285714285714,0.7909642857142856,50.55,0.5828214285714286,-0.12611111111111128,-1.1322222222222222,1.1461111111111113,6.331285714285714,-0.0644920634920636
Adaptive V2 pc=0.005,adaptive continuum point,adaptive_sparse_topk_v2_pilot_ep100_runs2_rho0p7-0p9-0p98_delay1-2-3_b4_mt0p02-0p05_pc0-0p002-0p005-0p01.csv,Adaptive Sparse-TopK V2 Feedback Grid B=4 bm=2 em=3 mt=0.05 pc=0.005 tf=0.75,"rho=0.7, delay=2",0.7,2,200,2,50.0,100.0,3.54,0.515,2.33,2.845,52.33,11.959523809523809,15.345285714285716,0.7886468253968255,50.515,0.8363214285714285,-0.015555555555555323,-1.1838888888888888,1.3822222222222222,7.3452857142857155,-0.07950396825396822
Adaptive V2 pc=0.005,adaptive continuum point,adaptive_sparse_topk_v2_pilot_ep100_runs2_rho0p7-0p9-0p98_delay1-2-3_b4_mt0p02-0p05_pc0-0p002-0p005-0p01.csv,Adaptive Sparse-TopK V2 Feedback Grid B=4 bm=2 em=3 mt=0.05 pc=0.005 tf=0.75,"rho=0.7, delay=3",0.7,3,200,2,50.0,100.0,3.685,0.525,2.46,2.985,52.46,11.869047619047619,15.35695238095238,0.7819880952380952,50.525,0.8392380952380952,0.10277777777777786,-1.1638888888888888,1.4555555555555555,7.3569523809523805,-0.08623456790123452
