label,coverage_sparse_weight,coverage_sparse_power_weight,scenario_key,channel_rho,csi_delay_slots,episodes,num_seeds,success_mean,perfect_rate,slots_mean,failed_nodes_mean,missed_opportunities_mean,true_opportunities_mean,decision_preview_calls_per_slot_mean,oracle_tx_gap_mean,coverage_sparse_selected_marginal_fraction_mean,coverage_sparse_selected_overlap_fraction_mean,slots_delta_vs_sparse,failed_delta_vs_sparse,missed_delta_vs_sparse,gap_delta_vs_sparse
Coverage-Aware cw=1 cpw=0,1.0,0.0,"rho=0.9, delay=1",0.9,1,900,3,50.0,100.0,3.637777777777778,4.515555555555555,5.914444444444444,55.91444444444444,16.0,2.1045925925925926,0.09158547398589066,0.7114851377482887,-0.02111111111111086,-0.05333333333333368,-0.19666666666666632,-0.07801631393298081
Coverage-Aware cw=2 cpw=0,2.0,0.0,"rho=0.9, delay=1",0.9,1,900,3,50.0,100.0,3.6266666666666665,4.502222222222223,5.904444444444445,55.904444444444444,16.0,2.1076216931216933,0.09183175705467372,0.7113732571703778,-0.032222222222222374,-0.06666666666666643,-0.2066666666666661,-0.07498721340388004
Coverage-Aware cw=0 cpw=0,0.0,0.0,"rho=0.9, delay=2",0.9,2,900,3,49.99666666666667,99.66666666666667,3.953333333333333,6.28,7.26,57.25666666666667,16.0,2.4900846560846563,0.08754252645502646,0.7125297874586992,-0.13666666666666671,0.0955555555555554,-0.5911111111111111,-0.09604144620811228
Coverage-Aware cw=0.25 cpw=0,0.25,0.0,"rho=0.9, delay=2",0.9,2,900,3,49.99666666666667,99.66666666666667,3.953333333333333,6.28,7.26,57.25666666666667,16.0,2.4900846560846563,0.08754252645502646,0.7125297874586992,-0.13666666666666671,0.0955555555555554,-0.5911111111111111,-0.09604144620811228
Coverage-Aware cw=0.5 cpw=0,0.5,0.0,"rho=0.9, delay=2",0.9,2,900,3,49.99666666666667,99.66666666666667,3.9522222222222223,6.283333333333333,7.26,57.25666666666667,16.0,2.491103174603175,0.08759587301587302,0.7124998958075169,-0.13777777777777755,0.09888888888888836,-0.5911111111111111,-0.09502292768959375
Coverage-Aware cw=1 cpw=0,1.0,0.0,"rho=0.9, delay=2",0.9,2,900,3,49.99666666666667,99.66666666666667,3.948888888888889,6.25,7.273333333333333,57.27,16.0,2.4888165784832452,0.08779341049382716,0.71160855692088,-0.14111111111111097,0.06555555555555515,-0.5777777777777775,-0.0973095238095234
Coverage-Aware cw=2 cpw=0,2.0,0.0,"rho=0.9, delay=2",0.9,2,900,3,49.99666666666667,99.66666666666667,3.9477777777777776,6.242222222222222,7.28,57.276666666666664,16.0,2.4908474426807756,0.0878833487654321,0.7111863855177389,-0.14222222222222225,0.05777777777777704,-0.5711111111111107,-0.095278659611993
Coverage-Aware cw=0 cpw=0,0.0,0.0,"rho=0.9, delay=3",0.9,3,900,3,49.99777777777778,99.77777777777777,3.94,6.946666666666666,7.488888888888889,57.486666666666665,16.0,2.579752204585538,0.08876160934744269,0.7160840558590414,-0.19888888888888934,0.02999999999999936,-0.9299999999999997,-0.12751675485008818
Coverage-Aware cw=0.25 cpw=0,0.25,0.0,"rho=0.9, delay=3",0.9,3,900,3,49.99777777777778,99.77777777777777,3.94,6.946666666666666,7.488888888888889,57.486666666666665,16.0,2.579752204585538,0.08876160934744269,0.7160840558590414,-0.19888888888888934,0.02999999999999936,-0.9299999999999997,-0.12751675485008818
Coverage-Aware cw=0.5 cpw=0,0.5,0.0,"rho=0.9, delay=3",0.9,3,900,3,49.99777777777778,99.77777777777777,3.94,6.946666666666666,7.488888888888889,57.486666666666665,16.0,2.579752204585538,0.08878245590828925,0.7160578145698429,-0.19888888888888934,0.02999999999999936,-0.9299999999999997,-0.12751675485008818
