decision_error_std,execution_error_std,mismatch_model,channel_rho,csi_delay_slots,probe_budget,policy,episodes,num_seeds,num_nodes,num_slots,num_irs_elements,num_codebook_states,g_th,alpha_th,gain_margin,power_margin,risk_weight,risk_power_weight,risk_invite_threshold,adaptive_risk_base_weight,opportunity_failure_cost,opportunity_missed_cost,opportunity_deadline_gain,opportunity_backlog_gain,temporal_reliability_z,sparse_topk_seed_multiplier,sparse_topk_fraction,success_mean,success_ci95,success_rate_mean,perfect_rate,slots_mean,slots_ci95,avg_power,total_energy_mean,total_energy_ci95,scheduled_nodes_mean,failed_nodes_mean,missed_opportunities_mean,true_opportunities_mean,failure_slot_rate,decision_preview_calls_per_slot_mean,oracle_tx_gap_mean,effective_risk_weight_mean,avg_reward
0.0,0.0,temporal_ar1,0.7,1,4,Sparse-TopK Feedback Grid B=4 sm=1 tf=0.25,200,2,50,10,64,16,0.001,0.05,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.25,50.0,0.0,1.0,100.0,3.875,0.1078000000000003,0.3741649202964672,16.20210875171644,0.21456218671464916,50.625,0.625,3.155,53.155,11.601785714285715,8.0,1.3306666666666667,0.0,99.31480738085494
0.0,0.0,temporal_ar1,0.7,1,4,Sparse-TopK Feedback Grid B=4 sm=1 tf=0.5,200,2,50,10,64,16,0.001,0.05,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,50.0,0.0,1.0,100.0,3.875,0.1078000000000003,0.3745542813168478,16.202003423928524,0.22423992417341004,50.62,0.62,3.155,53.155,11.601785714285715,8.0,1.3306666666666667,0.0,99.3135163236742
0.0,0.0,temporal_ar1,0.7,1,4,Sparse-TopK Feedback Grid B=4 sm=1 tf=0.75,200,2,50,10,64,16,0.001,0.05,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.75,50.0,0.0,1.0,100.0,3.875,0.1078000000000003,0.37462763964220835,16.201180518207533,0.22048364982607593,50.62,0.62,3.155,53.155,11.613690476190476,8.0,1.3306666666666667,0.0,99.3139277765347
0.0,0.0,temporal_ar1,0.7,1,4,Sparse-TopK Feedback Grid B=4 sm=2 tf=0.25,200,2,50,10,64,16,0.001,0.05,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.25,50.0,0.0,1.0,100.0,3.56,0.13719999999999968,0.36798011191781305,16.2010945005825,0.0025716054883977786,50.535,0.535,2.465,52.465,11.52142857142857,12.0,0.9677142857142857,0.0,99.37385784594673
0.0,0.0,temporal_ar1,0.7,1,4,Sparse-TopK Feedback Grid B=4 sm=2 tf=0.5,200,2,50,10,64,16,0.001,0.05,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.5,50.0,0.0,1.0,100.0,3.43,0.1567999999999997,0.36273080672722025,16.195846673253282,0.0034392877713941053,50.53,0.53,2.13,52.13,11.854761904761904,12.0,0.9076309523809524,0.0,99.40126359185815
0.0,0.0,temporal_ar1,0.7,1,4,Sparse-TopK Feedback Grid B=4 sm=2 tf=0.75,200,2,50,10,64,16,0.001,0.05,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.75,50.0,0.0,1.0,100.0,3.335,0.12739999999999987,0.36530839691753686,16.225519085261837,0.06318625962705794,50.535,0.535,1.845,51.845,12.25952380952381,12.0,0.8517976190476191,0.0,99.40681431626221
0.0,0.0,temporal_ar1,0.7,1,4,Sparse-TopK Feedback Grid B=4 sm=3 tf=0.25,200,2,50,10,64,16,0.001,0.05,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.25,50.0,0.0,1.0,100.0,3.545,0.04899999999999982,0.3598130479594485,16.166989424522328,0.10364893394994516,50.52,0.52,2.545,52.545,10.992857142857142,16.0,0.8803571428571427,0.0,99.39915286457662
0.0,0.0,temporal_ar1,0.7,1,4,Sparse-TopK Feedback Grid B=4 sm=3 tf=0.5,200,2,50,10,64,16,0.001,0.05,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.5,50.0,0.0,1.0,100.0,3.36,0.05880000000000005,0.3557179263332717,16.171214704603724,0.19198241901276367,50.515,0.515,2.07,52.07,11.516666666666666,16.0,0.7773333333333333,0.0,99.43235812650755
0.0,0.0,temporal_ar1,0.7,1,4,Sparse-TopK Feedback Grid B=4 sm=3 tf=0.75,200,2,50,10,64,16,0.001,0.05,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.75,50.0,0.0,1.0,100.0,3.25,0.019599999999999583,0.35965666085673953,16.178217059965768,0.15432835746542656,50.53,0.53,1.73,51.73,12.722222222222221,16.0,0.7040277777777777,0.0,99.42858475887547
0.0,0.0,temporal_ar1,0.7,1,8,Sparse-TopK Feedback Grid B=8 sm=1 tf=0.25,200,2,50,10,64,16,0.001,0.05,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.25,50.0,0.0,1.0,100.0,3.63,0.19600000000000015,0.3623311390450256,16.020980703835804,0.012353932496946099,50.255,0.255,3.005,53.005,5.679761904761905,16.0,1.0066785714285715,0.0,99.38224097106222
