scenario,scenario_label,scenario_description,num_nodes,num_slots,num_irs_elements,num_codebook_states,g_th,alpha_th,slot_cost,probe_cost,utility_mean,total_probe_calls_mean,feedback_noise_std,probe_budget,budget_fraction,policy,episodes,num_seeds,success_mean,success_ci95,success_rate_mean,perfect_rate,slots_mean,slots_ci95,avg_power,total_energy_mean,total_energy_ci95,probe_calls_per_slot_mean,oracle_match_rate,oracle_tx_gap_mean,observed_score_mean,observed_tx_fraction_mean,avg_reward
short_slots,Short Slots,"Tighter deadline with K=50, N=5, M=64, C=16",50,5,64,16,0.001,0.05,0.1,0.005,49.38292800000001,13.8224,0.0,4,0.25,Rotating Feedback Probe,5000,5,49.7976,0.0063390169584876,0.9959520000000001,81.0,3.4556,0.012202475814358441,0.3703226840058707,16.02541746933812,0.040000640552030134,4.0,30.917999999999996,0.8089333333333333,0.2752383522096998,0.2927771333333334,98.55432346507722
short_slots,Short Slots,"Tighter deadline with K=50, N=5, M=64, C=16",50,5,64,16,0.001,0.05,0.1,0.005,49.26082400000001,16.0592,0.0,4,0.25,UCB Feedback Probe,5000,5,49.7426,0.019742561535929442,0.9948520000000001,76.52,4.0148,0.031153520250527127,0.3745758653863086,15.999883298960677,0.05209993284917129,4.0,21.58,1.0334866666666667,0.23016973403032115,0.24438978333333333,98.34760680051448
short_slots,Short Slots,"Tighter deadline with K=50, N=5, M=64, C=16",50,5,64,16,0.001,0.05,0.1,0.005,49.113664,15.9912,0.0,4,0.25,Thompson Feedback Probe,5000,5,49.5934,0.019269900259213525,0.9918680000000001,65.66,3.9978,0.033425902291486606,0.3771053591604078,15.958148375323589,0.05098103124248884,4.0,19.95066666666667,1.0284833333333332,0.23279114761215838,0.24637026666666667,97.95490310908912
short_slots,Short Slots,"Tighter deadline with K=50, N=5, M=64, C=16",50,5,64,16,0.001,0.05,0.1,0.005,38.4412,0.0,0.1,0,0.0,No IRS,5000,5,38.9412,0.0706291105989589,0.7788240000000001,0.0,5.0,0.0,0.3351087429136704,13.051771096978525,0.041163198718588874,0.0,0.0,7.920439999999999,0.0,0.0,11.897444811911848
short_slots,Short Slots,"Tighter deadline with K=50, N=5, M=64, C=16",50,5,64,16,0.001,0.05,0.1,0.005,40.4552,0.0,0.1,0,0.0,Fixed IRS,5000,5,40.9552,0.07285138340484734,0.8191039999999999,0.0,5.0,0.0,0.29875773340632605,12.235502415511117,0.042677435584792645,0.0,1.3280000000000003,6.977,0.0,0.0,36.81022026685988
short_slots,Short Slots,"Tighter deadline with K=50, N=5, M=64, C=16",50,5,64,16,0.001,0.05,0.1,0.005,48.80778,0.0,0.1,0,0.0,Random IRS,5000,5,49.2524,0.024304000000000197,0.985048,51.2,4.4462,0.020829553619797152,0.43136337266624125,16.174503710170182,0.03628758829780123,0.0,7.520999999999998,2.1221200000000002,0.0,0.0,96.5925756306021
short_slots,Short Slots,"Tighter deadline with K=50, N=5, M=64, C=16",50,5,64,16,0.001,0.05,0.1,0.005,49.540352,40.3776,0.1,16,1.0,Oracle Full Preview,5000,5,49.9946,0.0013293366766919182,0.999892,99.48,2.5236,0.0070831699118404255,0.3638608839522054,15.977936231052212,0.05360440808700228,16.0,100.0,0.0,0.0,0.0,99.12804359239937
short_slots,Short Slots,"Tighter deadline with K=50, N=5, M=64, C=16",50,5,64,16,0.001,0.05,0.1,0.005,48.756232,66.3616,0.1,16,1.0,Full Noisy Feedback,5000,5,49.5028,0.012448700494430264,0.990056,60.980000000000004,4.1476,0.022735999999999913,0.41538245734775836,16.003144745700638,0.03917973291496054,16.0,14.273333333333332,1.3988866666666666,0.2473931979197843,0.26387454550817296,97.56296583499939
short_slots,Short Slots,"Tighter deadline with K=50, N=5, M=64, C=16",50,5,64,16,0.001,0.05,0.1,0.005,48.798101,4.4638,0.1,1,0.0625,Random Feedback Probe,5000,5,49.2668,0.016842320030209128,0.9853360000000001,51.580000000000005,4.4638,0.015611249277363983,0.4316603787467381,16.196590644871048,0.032864413043185534,1.0,7.253333333333332,2.109183333333333,0.2317454668860485,0.24909686766850456,96.65582299250124
short_slots,Short Slots,"Tighter deadline with K=50, N=5, M=64, C=16",50,5,64,16,0.001,0.05,0.1,0.005,49.096023,4.3274,0.1,1,0.0625,Rotating Feedback Probe,5000,5,49.5504,0.012482599729222322,0.9910080000000001,64.66,4.3274,0.0106383051281678,0.4381513981261921,16.35461148640474,0.02217077136121473,1.0,7.570666666666666,1.8878666666666668,0.2382147563052219,0.2574454835310758,97.5409516596764
