policy,run_idx,run_seed,episode_idx,episode_seed,slot,g_th,alpha_th,irs_index,tx_this_slot,total_tx,power_avg,reward,oracle_irs_index,oracle_tx_this_slot,irs_matches_oracle,oracle_tx_gap,termination_reason
SAC,1,2026,5,784857332,3,0.0017160991430282594,0.054805904626846313,8,0,45,0.0,0.0,3,5,0,5,running
SAC,1,2026,5,784857332,4,0.0036217490434646608,0.05640778243541718,7,0,45,0.0,0.0,3,5,0,5,running
SAC,1,2026,5,784857332,5,0.010651851654052736,0.06307066380977631,7,0,45,0.0,0.0,9,3,0,3,running
SAC,1,2026,5,784857332,6,0.004281080722808838,0.05909179747104645,8,0,45,0.0,0.0,3,5,0,5,running
SAC,1,2026,5,784857332,7,0.0023876140117645266,0.05548834204673767,7,0,45,0.0,0.0,3,5,0,5,running
SAC,1,2026,5,784857332,8,0.0016744086742401124,0.05294019877910614,6,2,47,0.7576468580842698,3.6211764812469482,3,5,0,3,running
SAC,1,2026,5,784857332,9,0.017238167881965638,0.07741818428039551,9,0,47,0.0,0.0,3,0,0,0,running
SAC,1,2026,5,784857332,10,0.0012065569162368775,0.05104939639568329,5,2,49,0.40022620460557784,2.9161629676818848,3,3,0,1,time_limit
SAC,1,2026,6,1003451250,1,0.0015082279443740846,0.052418261766433716,8,36,36,0.33426648185087265,71.83287048339844,15,43,0,7,running
SAC,1,2026,6,1003451250,2,0.001418168306350708,0.051950791478157045,7,7,43,0.4344695023931674,13.78276538848877,15,11,0,4,running
SAC,1,2026,6,1003451250,3,0.001624677538871765,0.054306864738464355,8,0,43,0.0,0.0,12,5,0,5,running
SAC,1,2026,6,1003451250,4,0.0016584197282791138,0.05290067195892334,7,0,43,0.0,0.0,12,5,0,5,running
SAC,1,2026,6,1003451250,5,0.0019215503931045534,0.053491058945655826,7,0,43,0.0,0.0,12,5,0,5,running
SAC,1,2026,6,1003451250,6,0.0018703202009201052,0.05379537045955658,8,0,43,0.0,0.0,12,5,0,5,running
SAC,1,2026,6,1003451250,7,0.001506138801574707,0.052415174245834355,6,2,45,0.7286916849195695,3.6356542110443115,15,6,0,4,running
SAC,1,2026,6,1003451250,8,0.0069954762458801275,0.06258045136928558,8,0,45,0.0,0.0,13,2,0,2,running
SAC,1,2026,6,1003451250,9,0.0012898991107940674,0.05149147212505341,5,4,49,0.4469709313589634,7.776514530181885,15,5,0,1,running
SAC,1,2026,6,1003451250,10,0.005583686590194702,0.06422643065452577,8,0,49,0.0,-0.7424221634864807,11,1,0,1,time_limit
SAC,1,2026,7,171429433,1,0.001510236620903015,0.052490231394767765,8,37,37,0.3030558114302302,73.84847259521484,11,42,0,5,running
SAC,1,2026,7,171429433,2,0.0014268437623977661,0.05199254751205445,7,8,45,0.43857159937973067,15.78071403503418,0,9,0,1,running
SAC,1,2026,7,171429433,3,0.0016628572940826417,0.054445412755012516,7,0,45,0.0,0.0,0,4,0,4,running
SAC,1,2026,7,171429433,4,0.002129230856895447,0.05392625033855439,8,0,45,0.0,0.0,0,4,0,4,running
SAC,1,2026,7,171429433,5,0.005281076788902283,0.05819596350193024,7,0,45,0.0,0.0,0,4,0,4,running
SAC,1,2026,7,171429433,6,0.0033113399744033813,0.05674625635147095,8,0,45,0.0,0.0,0,4,0,4,running
SAC,1,2026,7,171429433,7,0.0024319300651550295,0.05567074716091156,7,0,45,0.0,0.0,0,4,0,4,running
SAC,1,2026,7,171429433,8,0.0017272809743881226,0.05333617627620697,6,2,47,0.5123091198076629,3.7438454627990723,0,4,0,2,running
SAC,1,2026,7,171429433,9,0.01437110996246338,0.0764199435710907,9,0,47,0.0,0.0,0,1,0,1,running
SAC,1,2026,7,171429433,10,0.0012101808786392212,0.05115851163864136,6,0,47,0.0,-4.882088661193848,11,3,0,3,time_limit
SAC,1,2026,8,795643823,1,0.0015094230175018311,0.05243257582187653,8,39,39,0.29100386319459837,77.85449981689453,10,45,0,6,running
SAC,1,2026,8,795643823,2,0.00145451819896698,0.05213198959827423,7,5,44,0.4661322556204398,9.76693344116211,10,9,0,4,running
SAC,1,2026,8,795643823,3,0.001617140531539917,0.0543846607208252,8,0,44,0.0,0.0,9,5,0,5,running
SAC,1,2026,8,795643823,4,0.001830480456352234,0.053273484110832214,7,0,44,0.0,0.0,9,5,0,5,running
SAC,1,2026,8,795643823,5,0.002912122964859009,0.05529144108295441,7,0,44,0.0,0.0,10,4,0,4,running
SAC,1,2026,8,795643823,6,0.002098942756652832,0.05441362261772156,8,0,44,0.0,0.0,9,5,0,5,running
SAC,1,2026,8,795643823,7,0.0016139636039733886,0.0528569221496582,6,3,47,0.5186526372140098,5.740673542022705,9,5,0,2,running
SAC,1,2026,8,795643823,8,0.04548041319847107,0.09671753644943237,9,0,47,0.0,0.0,10,0,0,0,running
SAC,1,2026,8,795643823,9,0.0014521548748016358,0.05247205197811127,6,0,47,0.0,0.0,1,3,0,3,running
SAC,1,2026,8,795643823,10,0.0013478527069091797,0.0516539603471756,7,0,47,0.0,-4.874794006347656,1,3,0,3,time_limit
SAC,1,2026,9,1381800716,1,0.001505051016807556,0.05238172113895417,8,37,37,0.3154144487561664,73.84229278564453,10,42,0,5,running
SAC,1,2026,9,1381800716,2,0.001435832142829895,0.052033478021621705,7,10,47,0.46474055808653364,19.767629623413086,7,10,1,0,running
SAC,1,2026,9,1381800716,3,0.0019236127138137818,0.055438199639320375,8,0,47,0.0,0.0,14,3,0,3,running
SAC,1,2026,9,1381800716,4,0.019331742286682132,0.07116847634315492,8,0,47,0.0,0.0,14,0,0,0,running
SAC,1,2026,9,1381800716,5,0.04323110675811768,0.08301363587379457,8,0,47,0.0,0.0,14,0,0,0,running
SAC,1,2026,9,1381800716,6,0.03579776382446289,0.08848614096641541,9,0,47,0.0,0.0,14,0,0,0,running
SAC,1,2026,9,1381800716,7,0.02649897432327271,0.08779444098472595,8,0,47,0.0,0.0,14,0,0,0,running
SAC,1,2026,9,1381800716,8,0.004919944167137146,0.0613237738609314,7,0,47,0.0,0.0,14,2,0,2,running
SAC,1,2026,9,1381800716,9,0.001408807396888733,0.05220319330692291,6,1,48,0.43926603960500366,1.7803670167922974,14,3,0,2,running
SAC,1,2026,9,1381800716,10,0.004320941329002381,0.061629918217659,9,0,48,0.0,-2.263279438018799,14,2,0,2,time_limit
SAC,1,2026,10,762179171,1,0.0015083143711090087,0.052419304847717285,8,40,40,0.333661373665018,79.83316802978516,6,45,0,5,running
SAC,1,2026,10,762179171,2,0.0014716813564300537,0.052213636040687565,7,5,45,0.39630881853867717,9.80184555053711,11,10,0,5,running
SAC,1,2026,10,762179171,3,0.0016991416215896608,0.05472513139247895,8,0,45,0.0,0.0,6,5,0,5,running
SAC,1,2026,10,762179171,4,0.0027332881689071655,0.05503690242767334,7,0,45,0.0,0.0,6,5,0,5,running
SAC,1,2026,10,762179171,5,0.008772767543792725,0.06158387064933777,7,0,45,0.0,0.0,6,3,0,3,running
SAC,1,2026,10,762179171,6,0.003982285618782043,0.05844393074512482,8,0,45,0.0,0.0,6,5,0,5,running
SAC,1,2026,10,762179171,7,0.0024639079570770266,0.05564051866531372,7,0,45,0.0,0.0,6,5,0,5,running
SAC,1,2026,10,762179171,8,0.0016910353899002076,0.053025999665260316,6,5,50,0.29787284093311805,9.495413780212402,6,5,1,0,complete
SAC,1,2026,11,1784690067,1,0.0015055487155914307,0.05238620042800904,8,43,43,0.35803943499809443,85.82098388671875,8,43,1,0,running
SAC,1,2026,11,1784690067,2,0.0015340218544006349,0.05250866115093231,7,3,46,0.4245862755132646,5.7877068519592285,12,6,0,3,running
SAC,1,2026,11,1784690067,3,0.0020417342185974122,0.05588183104991913,8,0,46,0.0,0.0,12,4,0,4,running
SAC,1,2026,11,1784690067,4,0.021381188392639163,0.07188965678215027,8,0,46,0.0,0.0,14,0,0,0,running
SAC,1,2026,11,1784690067,5,0.028057069540023807,0.07468685805797577,7,0,46,0.0,0.0,14,0,0,0,running
SAC,1,2026,11,1784690067,6,0.015596712589263918,0.07440008819103242,8,0,46,0.0,0.0,14,1,0,1,running
SAC,1,2026,11,1784690067,7,0.005437202215194703,0.06286677420139314,8,0,46,0.0,0.0,10,2,0,2,running
SAC,1,2026,11,1784690067,8,0.0018217602968215942,0.053743603825569156,6,2,48,0.8139055042385452,3.5930471420288086,12,4,0,2,running
SAC,1,2026,11,1784690067,9,0.04466411566734314,0.09989577233791352,10,0,48,0.0,0.0,10,0,1,0,running
SAC,1,2026,11,1784690067,10,0.0013064632415771484,0.0516671895980835,6,0,48,0.0,-2.3746020793914795,10,2,0,2,time_limit
SAC,1,2026,12,1697625005,1,0.0015101382732391358,0.052490425109863285,8,39,39,0.2575383736564242,77.87123107910156,5,43,0,4,running
SAC,1,2026,12,1697625005,2,0.0014513829946517945,0.052123320102691655,7,4,43,0.5581516986997757,7.720924377441406,6,7,0,3,running
SAC,1,2026,12,1697625005,3,0.0015531191825866701,0.05409602224826813,7,0,43,0.0,0.0,13,5,0,5,running
SAC,1,2026,12,1697625005,4,0.0016659418344497682,0.05277010798454285,7,0,43,0.0,0.0,13,5,0,5,running
SAC,1,2026,12,1697625005,5,0.001986826419830322,0.05341327786445618,7,0,43,0.0,0.0,13,5,0,5,running
SAC,1,2026,12,1697625005,6,0.0018679181337356568,0.05347756743431092,8,0,43,0.0,0.0,13,5,0,5,running
SAC,1,2026,12,1697625005,7,0.001508454442024231,0.05240854620933533,6,4,47,0.41259244683868757,7.793703556060791,13,5,0,1,running
SAC,1,2026,12,1697625005,8,0.028613681554794313,0.08568788766860963,9,0,47,0.0,0.0,5,0,0,0,running
SAC,1,2026,12,1697625005,9,0.001385335087776184,0.0521786779165268,6,0,47,0.0,0.0,5,2,0,2,running
SAC,1,2026,12,1697625005,10,0.0013903210163116455,0.05192902982234955,8,0,47,0.0,-4.870833873748779,5,2,0,2,time_limit
SAC,1,2026,13,1512746413,1,0.0015040884017944337,0.052373021841049194,8,36,36,0.31958516168425855,71.8402099609375,4,45,0,9,running
SAC,1,2026,13,1512746413,2,0.0014247277975082398,0.05197948813438416,7,10,46,0.5951608529438516,19.70241928100586,4,10,0,0,running
SAC,1,2026,13,1512746413,3,0.0017725447416305543,0.05486172735691071,8,0,46,0.0,0.0,3,3,0,3,running
SAC,1,2026,13,1512746413,4,0.006038335919380188,0.05975782871246338,7,0,46,0.0,0.0,9,2,0,2,running
SAC,1,2026,13,1512746413,5,0.027727873086929325,0.07409906685352326,7,0,46,0.0,0.0,3,0,0,0,running
SAC,1,2026,13,1512746413,6,0.018564430832862855,0.07504129707813263,8,0,46,0.0,0.0,3,0,0,0,running
SAC,1,2026,13,1512746413,7,0.009809477090835572,0.06972930133342743,8,0,46,0.0,0.0,10,1,0,1,running
SAC,1,2026,13,1512746413,8,0.0018229136466979981,0.05377222895622254,6,3,49,0.5833060986955868,5.708346843719482,3,3,0,0,running
SAC,1,2026,13,1512746413,9,0.057074732542037966,0.10832207202911377,10,0,49,0.0,0.0,10,0,1,0,running
SAC,1,2026,13,1512746413,10,0.0014180341958999634,0.05239896476268768,7,0,49,0.0,-0.8642122745513916,10,1,0,1,time_limit
SAC,1,2026,14,1943781587,1,0.0015044370889663698,0.05237618088722229,8,41,41,0.2793090448688035,81.86034393310547,5,44,0,3,running
SAC,1,2026,14,1943781587,2,0.0014968523979187014,0.05232258141040802,7,5,46,0.304300053444717,9.84784984588623,5,7,0,2,running
SAC,1,2026,14,1943781587,3,0.0018830934762954711,0.05534789860248566,8,0,46,0.0,0.0,5,3,0,3,running
SAC,1,2026,14,1943781587,4,0.016474247932434082,0.06848752200603486,8,0,46,0.0,0.0,5,0,0,0,running
SAC,1,2026,14,1943781587,5,0.029275787830352784,0.07531086206436158,7,0,46,0.0,0.0,5,0,0,0,running
SAC,1,2026,14,1943781587,6,0.016261539816856387,0.07446267902851106,8,0,46,0.0,0.0,5,0,0,0,running
SAC,1,2026,14,1943781587,7,0.006493360757827759,0.06471406519412995,8,0,46,0.0,0.0,12,2,0,2,running
SAC,1,2026,14,1943781587,8,0.0018319228887557983,0.05376054644584656,6,0,46,0.0,0.0,5,3,0,3,running
SAC,1,2026,14,1943781587,9,0.0012876788377761841,0.05153475403785706,5,3,49,0.3628998790950018,5.818550109863281,5,3,1,0,running
SAC,1,2026,14,1943781587,10,0.009896765112876894,0.07077241837978364,9,0,49,0.0,-0.6996512413024902,14,1,0,1,time_limit
SAC,1,2026,15,1548783626,1,0.0014663378000259399,0.05214071571826935,8,37,37,0.37746097054743305,73.81127166748047,15,41,0,4,running
SAC,1,2026,15,1548783626,2,0.001450652837753296,0.05206075310707092,7,6,43,0.512761148216898,11.743618965148926,2,10,0,4,running
SAC,1,2026,15,1548783626,3,0.0017220298051834108,0.05405164957046509,9,3,46,0.4652618090935415,5.767369270324707,14,5,0,2,running
SAC,1,2026,15,1548783626,4,0.06451692080497742,0.09311659932136536,8,0,46,0.0,0.0,14,0,0,0,running
SAC,1,2026,15,1548783626,5,0.07366561388969421,0.0972499966621399,9,0,46,0.0,0.0,14,0,0,0,running
SAC,1,2026,15,1548783626,6,0.02522487735748291,0.08241340219974519,9,0,46,0.0,0.0,14,0,0,0,running
SAC,1,2026,15,1548783626,7,0.0014811614751815796,0.0521535724401474,7,0,46,0.0,0.0,14,3,0,3,running
SAC,1,2026,15,1548783626,8,0.0017435411214828493,0.053008103370666505,4,1,47,0.7371432946512103,1.6314283609390259,14,3,0,2,running
SAC,1,2026,15,1548783626,9,0.025839234352111818,0.08234397172927857,8,0,47,0.0,0.0,14,0,0,0,running
SAC,1,2026,15,1548783626,10,0.0012103924751281738,0.05115830898284912,4,1,48,0.9733293169432065,-0.8687564134597778,14,3,0,2,time_limit
SAC,1,2026,16,380863078,1,0.0015031347274780274,0.05236510634422303,8,38,38,0.3013904808290053,75.84930419921875,10,44,0,6,running
SAC,1,2026,16,380863078,2,0.0014517883062362671,0.0521073043346405,7,6,44,0.5151259274311252,11.742437362670898,14,11,0,5,running
SAC,1,2026,16,380863078,3,0.0016521373987197878,0.054399710893630986,8,0,44,0.0,0.0,15,5,0,5,running
SAC,1,2026,16,380863078,4,0.0021742085218429564,0.05398056209087372,7,0,44,0.0,0.0,15,5,0,5,running
SAC,1,2026,16,380863078,5,0.0029919544458389285,0.055595180392265325,7,0,44,0.0,0.0,15,5,0,5,running
