policy,episodes,step_count,success_mean,success_std,perfect_rate,slots_mean,slots_std,episode_reward_mean,avg_power_mean,total_energy_mean,g_th_mean,g_th_std,g_th_p05,g_th_p50,g_th_p95,alpha_th_mean,alpha_th_std,alpha_th_p05,alpha_th_p50,alpha_th_p95,unique_irs_count,dominant_irs_index,dominant_irs_rate,irs_oracle_match_rate,oracle_tx_gap_mean
SAC,1000,9754,48.467,0.9761716037664689,12.9,9.754,1.1417022378886712,94.26969199988245,0.4349272128891091,16.648876594944188,0.013134311774274671,0.018448237510873055,0.001315382033586502,0.0022884899973869325,0.05467129743099213,0.06478765241607722,0.016476293049504903,0.0517490765452385,0.05544296205043793,0.09966959193348886,8,8,0.4259790855033832,3.547262661472216,2.0236825917572276
Codebook-Aware SAC,1000,5446,49.899,0.3417586867952298,91.0,5.446,2.272682115915026,98.45817181909084,0.441568258950384,16.483575625355922,0.0010000000000000002,2.168404344971009e-19,0.001,0.001,0.001,0.04999999999999999,1.3877787807814457e-17,0.05,0.05,0.05,16,0,0.20088138082996695,7.161219243481454,1.8308850532500918
Greedy IRS,1000,2536,49.997,0.054690035655501276,99.7,2.536,0.704772303655585,99.13804005775836,0.3596035166153646,15.88452879146247,0.0010000000000000002,2.168404344971009e-19,0.001,0.001,0.001,0.049999999999999996,6.938893903907228e-18,0.05,0.05,0.05,16,6,0.07413249211356467,100.0,0.0
